A t h l e t i c s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Nathan,,,,MLB,,,23,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,40,,Years Paid,,2025,,Payroll,,"222,575,951","137,105,951","148,105,951","95,480,951","95,480,951","90,814,285","36,714,285","36,714,285","36,714,285",0,0,0,0,0
,,,,Franchise Record,,,338-148,,,,Minors,,,73,,Status,,First,,Dead Money,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,4,,,,Rotation,,,6,,Future Status,,Repeats,,Total Payroll,,"222,575,951","137,105,951","148,105,951","95,480,951","95,480,951","90,814,285","36,714,285","36,714,285","36,714,285",0,0,0,0,0
,,,,AL West Titles,,,3,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"14,424,049","103,894,049","95,894,049","148,519,049","148,519,049","153,185,715","207,285,715","207,285,715","207,285,715","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,4,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
,,,,World Series Championships,,,4,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-MIN (23),,,C,Cal Raleigh,SEA,"12,666,666","13,666,666","24,666,666","24,666,666","24,666,666","20,000,000",UFA,,,,,,,
