C h i c a g o   W h i t e   S o x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Cristian,,,,MLB,,,17,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,27,,Years Paid,,,,Payroll,,"42,200,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","20,000,000",0,0,0,0,0,0
,,,,Franchise Record,,,229-257,,,,Minors,,,113,,Status,,,,Dead Money,,"2,025,000",0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,3,,Future Status,,,,Total Payroll,,"44,225,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","22,000,000","20,000,000",0,0,0,0,0,0
,,,,AL Central Titles,,,0,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"192,775,000","219,000,000","222,000,000","222,000,000","222,000,000","222,000,000","222,000,000","224,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,95.42%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,2026,,Payroll % Inactive,,4.58%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-NYY (26),,,C,Harry Ford,SEA,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-DET (23),,,1B,Juan Yepez,WSH,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,FYPD (24) Rd 1,,,2B,Christian Moore,LAA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
