C l e v e l a n d   G u a r d i a n s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Chris,,,,MLB,,,22,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,40,,Years Paid,,,,Payroll,,"39,090,000","18,500,000","16,500,000","20,500,000","7,500,000","7,500,000","7,500,000","7,950,000",0,0,0,0,0,0
,,,,Franchise Record,,,291-195,,,,Minors,,,91,,Status,,,,Dead Money,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"39,090,000","18,500,000","16,500,000","20,500,000","7,500,000","7,500,000","7,500,000","7,950,000",0,0,0,0,0,0
,,,,AL Central Titles,,,3,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"197,910,000","222,500,000","227,500,000","223,500,000","236,500,000","236,500,000","236,500,000","236,050,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,C,Will Smith,LAD,"11,000,000","11,000,000","7,500,000","7,500,000","7,500,000","7,500,000","7,500,000","7,950,000",UFA,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Ivan Herrera,STL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Endy Rodriguez,PIT,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,2B,Nick Yorke,PIT,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SS,Bryson Stott,PHI,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Inaugural Draft,,,SS,Taylor Walls,TB,"2,450,000",ARB 3,UFA,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (22) Rd 4,,,SS,Tanner Schobel,MIN,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,25,,,,,,,,,Inaugural Draft,,,SS,Matthew Lugo,BOS,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,3B,Mark Vientos,NYM,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Inaugural Draft,,,OF,Josh Lowe,TB,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Inaugural Draft,,,OF,Carlos Cortes,NYM,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (25),,,OF,Kyler Fedko,MIN,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,24,25,,,,,,,,Inaugural Draft,,,OF,James Outman,LAD,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (22) Rd 1,,,OF,Drew Gilbert,HOU,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,OF,Tommy Pham,FA,"1,000,000",UFA,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inaugural Draft,,,OF,Denzel Clarke,ATH,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SP,Reese Olson,DET,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Inaugural Draft,,,SP,Bailey Ober,MIN,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,22,23,,,,,,,,Inaugural Draft,,,SP,Bailey Falter,PIT,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (22),,,SP,Jake Irvin,WSH,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SP,Brandon Pfaadt,ARZ,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,MiLB FA (22),,,SP,Christian Scott,NYM,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SP,Cade Povich,MIN,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,MiLB FA (24),,,RP,Bryan Hudson,MIL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,MiLB FA (24),,,RP,Tim Herrin,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (22),,,RP,Justin Slaten,TEX,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (24),,,RP,Trevor Megill,MIL,"900,000",UFA,,,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,MiLB FA (22),,,RP,Tanner Banks,CHW,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (24),,,RP,Jake Latz,TEX,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,Inaugural Draft,,,RP,Brandon Walter,BOS,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (22),,,RP,Mitch Bratt,ARZ,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (25),,,RP,Juan Morillo,ARZ,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (22),,,RP,Eduard Bazardo,BOS,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (25),,,RP,Dylan Ross,NYM,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (25),,,RP,Wilber Dotel,PIT,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (22),,,RP,Nick Mears,PIT,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (24),,,RP,Robert Garcia,TEX,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (24),,,RP,Grant Holmes,ATL,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,22,23,24,,,,,,,MiLB FA (22),,,RP,Steven Wilson,SD,ARB 2,ARB 3,UFA,,,,,,,,,,,
,X,,,,,0,24,,,,,,,,,MiLB FA (22),,,RP,Brock Burke,TEX,ARB 3,UFA,,,,,,,,,,,,
,X,,,,,0,23,24,,,,,,,,MiLB FA (22),,,RP,Mason Thompson,WSH,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Inaugural Draft,,,RP,Aaron Ashby,MIL,"5,500,000","7,500,000","9,000,000","13,000,000",UFA,,,,,,,,,
X,,X,,,,0,22,23,,,,,,,,Inaugural Draft,,,RP,Tony Santillan,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,,,,,0,23,,,,,,,,,MiLB FA (22),,,RP,Scott Effross,CHC,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
