D e t r o i t   T i g e r s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Jason,,,,MLB,,,24,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2025,,,,40 Man,,,36,,Years Paid,,2023; 2024; 2025,,Payroll,,"126,190,000","47,250,000","16,500,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,276-210,,,,Minors,,,52,,Status,,2nd Level,,Dead Money,,"8,362,500",0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,2,,,,Rotation,,,3,,Future Status,,Repeats,,Total Payroll,,"134,552,500","47,250,000","16,500,000",0,0,0,0,0,0,0,0,0,0,0
,,,,AL Central Titles,,,1,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"102,447,500","193,750,000","227,500,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,0,,Payroll % Active,,93.78%,100.00%,100.00%,,,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,6.22%,0.00%,0.00%,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-CIN  (25),,,C,Danny Jansen,TB,"10,000,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SD (23),,,1B,DJ LeMahieu,NYY,"22,500,000",UFA,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-ATH (24),,,1B,Chris Meyers,DET,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,24,,,,,,,,,Trade-PIT (24),,,1B,Ryan Noda,CHW,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
