L o s   A n g e l e s   D o d g e r s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Billy,,,,MLB,,,29,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,40,,Years Paid,,,,Payroll,,"206,475,500","178,955,500","122,205,500","96,205,500","26,250,000","26,250,000",0,0,0,0,0,0,0,0
,,,,Franchise Record,,,315-171,,,,Minors,,,90,,Status,,,,Dead Money,,"2,039,250",0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,9,,Future Status,,,,Total Payroll,,"208,514,750","178,955,500","122,205,500","96,205,500","26,250,000","26,250,000",0,0,0,0,0,0,0,0
,,,,NL West Titles,,,2,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"28,485,250","62,044,500","121,794,500","147,794,500","217,750,000","217,750,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,99.02%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,0.98%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,C,Sean Murphy,ATH,"15,000,000","15,000,000","15,000,000","15,000,000",UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,C,Edgar Quero,CHW,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-ATH (23),,,C,Thayron Liranzo,DET,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SEA (24),,,1B,Vinnie Pasquantino ,KC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-WSH (24),,,1B,Tyler Locklear,ARZ,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
