N e w   Y o r k   M e t s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Nick/James,,,,MLB,,,28,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,38,,Years Paid,,,,Payroll,,"194,986,905","132,553,571","97,553,571","37,553,571","22,063,571","28,053,571","35,625,000","18,000,000",0,0,0,0,0,0
,,,,Franchise Record,,,292-194,,,,Minors,,,120,,Status,,,,Dead Money,,"5,100,000","390,000",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,6,,Future Status,,,,Total Payroll,,"200,086,905","132,943,571","97,553,571","37,553,571","22,063,571","28,053,571","35,625,000","18,000,000",0,0,0,0,0,0
,,,,NL East Titles,,,0,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"36,913,095","108,056,429","146,446,429","206,446,429","221,936,429","215,946,429","208,375,000","226,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,0,,Payroll % Active,,97.45%,99.71%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,2.55%,0.29%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Inagural Draft,,,C,Yainer Diaz,HOU,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-TOR (23),,,C,Samuel Basallo ,BAL,"1,625,000","1,625,000","1,625,000","4,625,000","7,635,000","11,625,000","15,625,000","18,000,000",UFA,,,,,
,X,X,,,,0,,,,,,,,,,Inagural Draft,,,C,Joe Mack,MIA,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,1B,Triston Casas,BOS,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Trade-HOU (25),,,1B,Kody Clemens,DET,ARB 1,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SEA (25),,,1B,Luke Raley,SEA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-KC (23),,,2B,Michael Massey,KC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,23,24,,,,,,,,Inagural Draft,,,2B,Curtis Mead,CWS,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-NYY (25),,,SS,Gunnar Henderson,BAL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (24),,,SS,Daniel Schneemann,CLE,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-OAK (24),,,3B,Chase Meidroth,CHW,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,3B,Alex Bregman,BOS,"40,000,000","40,000,000",UFA,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-PIT (25),,,3B,Jose Miranda,MIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inagural Draft,,,OF,George Springer,TOR,"22,500,000",UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,OF,Lawrence Butler,ATH,"3,678,571","5,428,571","8,428,571","10,428,571","14,428,571","16,428,571","20,000,000",UFA,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (22),,,OF,Jonny Deluca,TB,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-COL (24),,,OF,Lars Nootbaar,STL,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIA (24),,,OF,Kerry Carpenter,DET,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Rule V-SD (25),,,OF,Ryan Ward,LAD,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (24),,,SP,Max Fried,NYY,"22,500,000","22,500,000","22,500,000","22,500,000",UFA,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inagural Draft,,,SP,Lance McCullers,HOU,"10,583,334",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (24),,,SP,Cristopher Sanchez,PHI,"20,100,000","20,100,000","20,100,000",UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-LAA (23),,,SP,Blake Snell,LAD,"37,350,000","24,900,000","24,900,000",UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-PIT (24),,,SP,Mitch Keller,PIT,"16,500,000","18,000,000","20,000,000",UFA,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,SP,Jared Jones,PIT,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,FYPD (22) Rd 2,,,SP,Parker Messick,CLE,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,24,25,,,,,,,,Inagural Draft,,,SP,Mitchell Parker,WSH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,24,,,,,,,,,FYPD (23) Rd 4,,,SP,Jake Bloss,TOR,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,MiLB FA (24),,,SP,Darlin Saladin,STL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,MiLB FA (24),,,SP,Moises Chace,PHI,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
