N e w   Y o r k   Y a n k e e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Brenden,,,,MLB,,,17,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2024,,,,40 Man,,,31,,Years Paid,,,,Payroll,,"37,520,000","17,760,000","8,000,000","8,000,000",0,0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,131-355,,,,Minors,,,120,,Status,,,,Dead Money,,"23,325,000","6,350,000","2,550,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,0,,,,Rotation,,,5,,Future Status,,,,Total Payroll,,"60,845,000","24,110,000","10,550,000","8,000,000",0,0,0,0,0,0,0,0,0,0
,,,,AL East Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"176,155,000","216,890,000","233,450,000","236,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,61.66%,73.66%,75.83%,100.00%,,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,2026,,Payroll % Inactive,,38.34%,26.34%,24.17%,0.00%,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-NYM (25),,,SS,Caleb Durbin,MIL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,,,,,,,,,,,Rule V-SEA (26),,,SS,Cameron Cauley,TEX,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-CHW (26),,,OF,Parker Meadows,DET,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,Inaugural Draft,,,OF,Miguel Bleis,BOS,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,OF,Nathan Lukes,TOR,"1,000,000","1,000,000",UFA,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-LAD (24),,,OF,Kala'i Rosario,MIN,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (24),,,OF,Isaac Collins,MIL,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,SP,Javier Assad ,CHC,"8,000,000","8,000,000","8,000,000","8,000,000",UFA,,,,,,,,,
,X,X,,,,0,23,24,25,,,,,,,Trade-SDP (26),,,SP,Taj Bradley,MIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Trade-NYM (25),,,SP,Eury Perez,MIA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SP,Luis Garcia,HOU,ARB 3,UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,SP,Grayson Rodriguez ,BAL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Inaugural Draft,,,SP,Chase Silseth,LAA,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
