P i t t s b u r g h   P i r a t e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Kevin,,,,MLB,,,21,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2024,,,,40 Man,,,29,,Years Paid,,,,Payroll,,"79,135,000","70,805,000","36,250,000","31,125,000","15,000,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,267-219,,,,Minors,,,119,,Status,,,,Dead Money,,0,0,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,8,,Future Status,,,,Total Payroll,,"79,135,000","70,805,000","36,250,000","31,125,000","15,000,000",0,0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"157,865,000","170,195,000","207,750,000","212,875,000","229,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,0,,Payroll % Active,,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,23,24,,,,,,,,Inaugural Draft,,,C,Eric Haase,DET,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAA (25),,,C,Kyle Teel,CHW,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-SEA (25),,,C,Henry Davis,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-LAD (25),,,1B,Gavin Sheets,CHW,ARB 2,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,MiLB FA (22),,,SS,Maikel Garcia,KC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-LAA (24),,,SS,Geraldo Perdomo,ARZ,"6,250,000","9,250,000","12,250,000","7,125,000","15,000,000",UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inaugural Draft,,,3B,Romy Gonzalez,CHW,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,,,,,0,22,23,,,,,,,,MiLB FA (23),,,3B,Emmanuel Rivera,KC,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,3B,Yoan Moncada,LAA,"10,000,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-CHW (25),,,OF,Tyler O'Neill,STL,"8,775,000","8,775,000",UFA,,,,,,,,,,,
X,,X,,,,0,22,23,,,,,,,,Trade-LAA (24),,,OF,Jo Adell,LAA,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-CIN (24),,,OF,Riley Greene,DET,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,22,,,,,,,,,Trade-SD (24),,,OF,Richie Palacios,STL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Waive-KC (25),,,OF,George Valera,CLE,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,UT,Eloy Jiminez,TB,"5,000,000","5,000,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
