S a n   D i e g o   P a d r e s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Denny,,,,MLB,,,13,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2022,,,,40 Man,,,25,,Years Paid,,,,Payroll,,"52,910,000","13,250,000","14,250,000","6,250,000","9,250,000","13,250,000","16,250,000","19,000,000","21,000,000",0,0,0,0,0
,,,,Franchise Record,,,253-233,,,,Minors,,,90,,Status,,,,Dead Money,,"2,283,750","2,283,750","2,283,750",0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,3,,Future Status,,,,Total Payroll,,"55,193,750","15,533,750","16,533,750","6,250,000","9,250,000","13,250,000","16,250,000","19,000,000","21,000,000",0,0,0,0,0
,,,,NL West Titles,,,1,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"181,806,250","225,466,250","227,466,250","237,750,000","234,750,000","230,750,000","227,750,000","225,000,000","223,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,95.86%,85.30%,86.19%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,4.14%,14.70%,13.81%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (25),,,1B,Kristian Campbell,BOS,"2,250,000","3,250,000","4,250,000","6,250,000","9,250,000","13,250,000","16,250,000","19,000,000","21,000,000",UFA,,,,
X,,X,,,,0,24,,,,,,,,,MiLB FA (24),,,1B,Ben Rice,NYY,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,2B,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,SS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-ATH (25),,,3B,Matt Vierling,DET,ARB 2,ARB 3,UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-MIA (24),,,OF,Randal Grichuk,ARI,"4,000,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-LAA (25),,,OF,Harrison Bader,MIN,"7,800,000",UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (25),,,OF,Jake Mangum,TB,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,24,,,,,,,,,MiLB FA (23),,,OF,Blake Perkins ,MIL,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Rule V-HOU(26),,,OF,Trei Cruz,DET,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
