Seattle Mariners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Chris,,,,MLB,,,22,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2024,,,,40 Man,,,34,,Years Paid,,2025,,Payroll,,"89,300,000","78,500,000","19,000,000","26,000,000","6,000,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,259-227,,,,Minors,,,112,,Status,,First,,Dead Money,,"15,760,000","780,000","800,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,2,,,,Rotation,,,9,,Future Status,,Repeats,,Total Payroll,,"105,060,000","79,280,000","19,800,000","26,000,000","6,000,000",0,0,0,0,0,0,0,0,0
,,,,AL West Titles,,,0,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"131,940,000","161,720,000","224,200,000","218,000,000","238,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,85.00%,99.02%,95.96%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,,,Payroll % Inactive,,15.00%,0.98%,4.04%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Trade-ATH (25),,,C,Agustin Ramirez,MIA,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-MIL (25),,,C,Jimmy Crooks,STL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-CIN (23),,,1B,Kyle Manzardo,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-CHC (25),,,1B,Blaze Jordan,BOS,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-CIN (25),,,2B,Nick Gonzales,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAA (26),,,SS,Alex Freeland,LAD,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-CHC (25),,,SS,Carlos Colmenarez,TB,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-COL (25),,,3B,Nolan Arenado,STL,"27,000,000","32,500,000",UFA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-TB (25),,,OF,Aaron Zavala,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-PIT (25),,,OF,Jack Suwinski,PIT,"1,250,000",ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-PIT (25),,,OF,Christian Yelich,MIL,"26,000,000","26,000,000","13,000,000","20,000,000",UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-TB (26),,,OF,Robert Hassell,WSH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-TOR (24),,,OF,Kristian Robinson ,ARZ,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Rule V-MIL (25),,,OF,Dustin Harris,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Trade-NYM (22),,,OF,Heriberto Hernandez,MIA,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIA (26),,,SP,Sean Burke,CHW,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIA (26),,,SP,Mick Abel,MIN,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-NYY  (22),,,SP,Antonio Senzatela,COL,"12,000,000","14,000,000",UFA,,,,,,,,,,,
X,,X,,,,0,23,25,,,,,,,,Trade-TOR (25),,,SP,Andre Pallante,STL,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAA (26),,,SP,Kumar Rocker,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SD (26),,,SP,Shane McClanahan,TB,ARB 3,ARB 4,UFA,,,,,,,,,,,
X,,X,,,,0,24,25,,,,,,,,Trade-LAA (25),,,SP,Carson Spiers,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,SP,Davis Martin,CHW,"6,000,000","6,000,000","6,000,000","6,000,000","6,000,000",UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Waive - BAL (26),,,SP,Marco Raya,MIN,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,25,,,,,,,,,Trade-KC (26),,,SP,Cade Cavalli,WSH,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-KC (26),,,RP,Cade Smith,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-MIA (26),,,RP,Blade Tidwell,NYM,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Waive-NYM (26),,,RP,Randy Rodriguez ,SF,"850,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Waivers PITT(25),,,RP,Jorge Alcala,MIN,"1,000,000",UFA,,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-ATH (25),,,RP,CJ Culpepper,MIN,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-STL (25),,,RP,David Sandlin ,KC,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-LAD (25),,,RP,Marc Church,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-PIT (25),,,RP,Jeremiah Estrada,SD,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-NYM (25),,,RP,Ben Peoples,TB,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Rule 5 Eligibility,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,C,Anderson Araujo,PHI,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,C,Miguel Caraballo,SF,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,C,Carlos Benavides,DET,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Waive-NYM (25),2029,,C,Ramon Landaeta,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,C,Enry Torres,CIN,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (25) Rd 6,Not in RR,,C,Conner O'Neal,LAD,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,C,Daniel Hernandez,WSH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (24),2028,,C,Jose Marcano,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),Eligible,,C,Antonio Gomez,NYY,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-NYM (25),2028,,1B,David Ortiz Jr,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-MIL (24),2026,,1B,Brock Vradenburg,MIA,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2026,,1B,Arturo Disla,TEX,,,,,,,,,,,,,,
,X,,,,,0,25,,,,,,,,,Waive-NYM (25),EXEMPT,,1B,Blaine Crim,TEX,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2026,,2B,Rikuu Nishida,CHW,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),Eligible,,2B,Christian Cairo,ATL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,IFA (25),2029,,2B,Sebastian Dos Santos,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2027,,2B,Sam Shaw,TOR,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
