S t .   L o u i s   C a r d i n a l s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Grant,,,,MLB,,,25,,Tax Bill Paid,,Yes,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2023,,,,40 Man,,,37,,Years Paid,,2025,,Payroll,,"258,415,000","206,265,000","134,135,000","84,500,000","23,000,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,282-204,,,,Minors,,,93,,Status,,First,,Dead Money,,"12,250,000","1,300,000",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,3,,,,Rotation,,,5,,Future Status,,Repeats,,Total Payroll,,"270,665,000","207,565,000","134,135,000","84,500,000","23,000,000",0,0,0,0,0,0,0,0,0
,,,,NL Central Titles,,,1,,,,Injured List,,,0,,Extensions,,1,,Luxury Tax Space,,"-33,665,000","33,435,000","109,865,000","159,500,000","221,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,NL Pennants,,,1,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,95.47%,99.37%,100.00%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,0,,Payroll % Inactive,,4.53%,0.63%,0.00%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,C,Salvador Perez,KC,"13,500,000",UFA,,,,,,,,,,,,
,X,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (25),,,C,Ben Rortvedt,NYY,"760,000",UFA,,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,Waive-BAL (24),,,C,Braxton Fulford,COL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,1B,Paul Goldschmidt,STL,"14,500,000","14,500,000",UFA,,,,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (23) Rd 1,,,1B,Bryce Eldridge,SF,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,2B,Andres Gimenez,CLE,"15,000,000","23,000,000","23,000,000","23,000,000","23,000,000",UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,SS,Leo Rivas,SEA,"1,500,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade ATL 26,,,SS,Carlos Correa,HOU,"29,000,000","29,000,000","29,000,000","43,500,000",UFA,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Trade-PHI 25,,,2B,Josh Smith,TEX,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,24,25,,,,,,,,Trade-ATH (23),,,SS,Angel Martinez,CLE,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-ATH (23),,,SS,Marcelo Mayer,BOS,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
