T o r o n t o   B l u e   J a y s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Noah,,,,MLB,,,18,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2023,,,,40 Man,,,30,,Years Paid,,,,Payroll,,"140,320,000","108,520,000","54,760,000","44,760,000","16,010,000",0,0,0,0,0,0,0,0,0
,,,,Franchise Record,,,269-217,,,,Minors,,,96,,Status,,,,Dead Money,,"8,638,000","1,500,000","1,500,000",0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,4,,Future Status,,,,Total Payroll,,"148,958,000","110,020,000","56,260,000","44,760,000","16,010,000",0,0,0,0,0,0,0,0,0
,,,,AL East Titles,,,1,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"88,042,000","130,980,000","187,740,000","199,240,000","227,990,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,94.20%,98.64%,97.33%,100.00%,100.00%,,,,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,2026,,Payroll % Inactive,,5.80%,1.36%,2.67%,0.00%,0.00%,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,C,Travis d'Arnaud,LAA,"4,000,000",UFA,,,,,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-SEA (25),,,C,Garrett Stubbs,PHI,ARB 3,UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SEA (25),,,C,Liam Hicks,TEX,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,,,,,,,,,,,FYPD (22) Rd 6,,,C,Kody Huff,COL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-SEA (25),,,2B,Willi Castro,MIN,"16,010,000","16,010,000","16,010,000","16,010,000","16,010,000",UFA,,,,,,,,
,X,,,,,0,,,,,,,,,,Trade-LAD (25),,,2B,Tsung-Che Cheng,PIT,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAD (23),,,SS,Thairo Estrada,SF,ARB 4,UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-COL (24),,,SS,Brice Matthews,HOU,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,24,,,,,,,,,Trade-COL (24),,,SS,Blaze Alexander,ARZ,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,Inaugural Draft,,,SS,Daniel Vazquez,KC,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-KC (23),,,SS,Cristian Hernandez,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,,,,,,,,,,,Trade-CHC (26),,,3B,Cam Collier,CIN,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-LAD (23),,,3B,Spencer Steer,CIN,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Trade-ATH (25),,,3B,Jared Triolo,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (24),,,OF,Tyler Fitzgerald,SF,"760,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,OF,Rob Refsnyder,BOS,"2,000,000",UFA,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,OF,Alex Verdugo,ATL,"10,000,000","10,000,000","10,000,000",UFA,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-LAD (25),,,OF,Christian Franklin,CHC,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,25,,,,,,,,,MiLB FA (25),,,OF,Brandon Lockridge,SD,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-SEA (24),,,OF,Blake Dunn,CIN,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (25),,,OF,Masataka Yoshida,BOS,"24,000,000","24,000,000","24,000,000","24,000,000",UFA,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,Trade-CHC (26),,,OF,Oscar Colas,CHW,"1,750,000","1,750,000","1,750,000","1,750,000",UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,Trade-CHC (26),,,UT,Kris Bryant,COL,"3,000,000","3,000,000","3,000,000","3,000,000",UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-NYM (23),,,SP,Kyle Freeland,COL,"16,000,000","17,000,000",UFA,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Inaugural Draft,,,SP,Christian Javier,HOU,"21,000,000","21,000,000",UFA,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (24),,,SP,German Marquez,COL,"7,000,000","7,000,000",UFA,,,,,,,,,,,
,X,,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,SP,Marcus Stroman,NYY,"11,600,000",UFA,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-LAD (25),,,SP,Henry Baez,ATH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,24,,,,,,,,,Trade-SEA (24),,,SP,Emerson Hancock,SEA,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,X,X,,,,,,,,,,,,,,MiLB FA (25),,,P,Isaac Mattson,PIT,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,23,24,,,,,,,,Inaugural Draft,,,SP,Tylor Megill,NYM,ARB 2,ARB 3,UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-CHC (26),,,SP,Cooper Hjerpe,STL,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-PHI (25),,,RP,Joe Jimenez,ATL,"8,760,000","8,760,000",UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (25),,,RP,Elvis Alvarado,ATH,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,MiLB FA (25),,,RP,Paxton Schultz,TOR,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,,,,,,,,,,MiLB FA (22),,,RP,Dylan Ray,ARZ,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,,,,,0,,,,,,,,,,MiLB FA (25),,,RP,Cade Gibson,MIA,"760,000",TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-LAD (25),,,RP,Carson Seymour,SF,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,,,,,0,24,,,,,,,,,Waive-BAL (25),,,RP,Colin Holderman,PIT,ARB 2,ARB 3,UFA,,,,,,,,,,,
,X,,,,,0,24,,,,,,,,,Waive-BAL (24),,,RP,Seth Martinez,HOU,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M I N O R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Rule 5 Eligibility,,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2028,,C,Dylan Fien,ATH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,Trade-SD (25),2026,,C,Jorge Hernandez,KC,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (24) Rd 3,2027,,C,Kevin Bazzell,WSH,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (25),2027,,C,Ryan Campos,STL,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2026,,C,Julian Brock,TEX,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,FYPD (23) Rd 1,2027,,C,Ralphy Velazquez,CLE,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2026,,C,Connor Burns,CIN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,,,,,,,,,,,,,,,MiLB FA (24),2026,,1B,Carter Graham,CIN,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
