W a s h i n g t o n   N a t i o n a l s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Owner,,,Jason,,,,MLB,,,20,,Tax Bill Paid,,No,,League Year,,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,Joined,,,2024,,,,40 Man,,,30,,Years Paid,,,,Payroll,,"120,377,500","67,687,500","45,500,000","35,500,000","18,000,000","18,000,000","18,000,000","18,000,000",0,0,0,0,0,0
,,,,Franchise Record,,,175-149,,,,Minors,,,116,,Status,,,,Dead Money,,"12,580,000","2,000,000",0,0,0,0,0,0,0,0,0,0,0,0
,,,,Playoff Appearances,,,1,,,,Rotation,,,4,,Future Status,,,,Total Payroll,,"132,957,500","69,687,500","45,500,000","35,500,000","18,000,000","18,000,000","18,000,000","18,000,000",0,0,0,0,0,0
,,,,AL East Titles,,,0,,,,Injured List,,,0,,Extensions,,2,,Luxury Tax Space,,"104,042,500","171,312,500","198,500,000","208,500,000","226,000,000","226,000,000","226,000,000","226,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000","244,000,000"
,,,,AL Pennants,,,0,,,,60 Day IL,,,0,,Restructure,,1,,Payroll % Active,,90.54%,97.13%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,,,,
,,,,World Series Championships,,,0,,,,,,,,,Lottery Picks,,2026,,Payroll % Inactive,,9.46%,2.87%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
P O S I T I O N   P L A Y E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Rule V-PHI (25),,,C,Brandon Valenzuela,SD,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,C,Jose Trevino,CIN,"760,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-ATL (24),,,1B,Wilmer Flores,SF,"14,700,000","14,700,000",UFA,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,1B,Josh Bell,WSH,"19,500,000",UFA,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,X,,,,0,25,,,,,,,,,Trade-LAD (25),,,2B,Ji-Hwan Bae,PIT,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,2B,Enrique Hernandez,FA,"6,000,000",UFA,,,,,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Trade-LAA (25),,,2B,Jorbit Vivas,NYY,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,UFA (25),,,2B,Hyeseong Kim,LAD,"17,500,000","17,500,000","17,500,000","17,500,000",UFA,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,SS,Elly De La Cruz ,CIN,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,,,,,,,,,,,Trade-SEA (24),,,SS,Noah Miller,MIN,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-MIL (24),,,SS,Ezequiel Duran,TEX,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,FYPD (23) Rd 2,,,3B,Ben Williamson,SEA,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,23,,,,,,,,,Inagural Draft,,,OF,Julio Rodriguez ,SEA,"18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000",UFA,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,OF,Tyrone Taylor,MIL,ARB 3,UFA,,,,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-SEA (24),,,OF,Troy Johnston,MIA,"760,000",TC ,TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
X,,X,,,,0,23,24,,,,,,,,Trade-SEA (24),,,OF,Jordan Walker,STL,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
X,,X,,,,0,25,,,,,,,,,Rule V-TOR (25),,,OF,Kameron Misner,TB,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inagural Draft,,,OF,Owen Caissie,CHC,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Trade-SD (24),,,OF,Everson Pereira,NYY,"760,000",TC ,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P I T C H E R S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLB,MiLB,40,IL,IL Length,IL Date,IL Return,Option Years Used,,,,Options Used,,,,,How Acquired,Optioned/DFA Date,Recall Eligible Date,POS,Name,Team,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,SP,John Means,BAL,"4,987,500","4,987,500",UFA,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Inagural Draft,,,SP,Patrick Sandoval,LAA,"12,750,000",UFA,,,,,,,,,,,,
X,,X,,,,0,,,,,,,,,,Trade-ATH (24),,,SP,Carson Palmquist,COL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
X,,X,,,,0,,,,,,,,,,MiLB FA (22),,,SP,Bowden Francis,TOR,"760,000",ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
,X,X,,,,0,,,,,,,,,,Waive-LAD (26),,,SP,Carlos Rodriguez,MIL,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,X,X,,,,0,,,,,,,,,,Inagural Draft,,,SP,Dax Fulton,MIA,"760,000",TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,X,,,,0,D,F,A,,-,O,N,L,Y,Trade-SEA (24),,,RP,Andrew Nardi ,MIA,"10,000,000","10,000,000","10,000,000",UFA,,,,,,,,,,
