name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
MJ Melendez,C,KC,MLB,ARZ,,X,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Rafael Marchan,C,PHI,MLB,ARZ,X,,X,,,,,,1,,1,rostered,1000000,UFA,,,,,,,,,,,,
Thomas Saggese,2B,STL,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cam Devanney,SS,KC,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Wenceel Perez,SS,DET,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Maximo Acosta,SS,TEX,MLB,ARZ,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jordan Lawlar,SS,ARZ,MLB,ARZ,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jonah Bride,3B,MIA,MLB,ARZ,,X,,,,,,,1,,0,rostered,1350000,1350000,1350000,1350000,UFA,,,,,,,,,
Nacho Alvarez,3B,ATL,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zach Dezenzo,OF,HOU,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kyle Stowers,OF,MIA,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Joey Gallo,OF,MIN,MLB,ARZ,,X,,,,,,,1,,0,rostered,15412500,15412500,UFA,,,,,,,,,,,
Jerar Encarnacion,OF,SF,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jacob Melton,OF,HOU,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jasson Dominguez,OF,NYY,MLB,ARZ,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
