name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Cal Raleigh,C,SEA,MLB,ATH,X,,X,,,,,,1,,1,rostered,12666666,13666666,24666666,24666666,24666666,20000000,UFA,,,,,,,
Drake Baldwin,C,ATL,MLB,ATH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Pete Alonso,1B,NYM,MLB,ATH,X,,X,,,,,,1,,1,rostered,30750000,UFA,,,,,,,,,,,,
Nick Kurtz,1B,ATH,MLB,ATH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Nick Cimillo,1B,PIT,MLB,ATH,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Ketel Marte,2B,ARZ,MLB,ATH,X,,X,,,,,,1,,1,rostered,18000000,UFA,,,,,,,,,,,,
Jared Serna,2B,MIA,MLB,ATH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Francisco Lindor,SS,NYM,MLB,ATH,X,,X,,,,,,1,,1,rostered,34100000,34100000,34100000,34100000,34100000,34100000,UFA,,,,,,,
Jorge Mateo,SS,BAL,MLB,ATH,X,,X,,,,,,1,,1,rostered,760000,UFA,,,,,,,,,,,,
Brendan Donovan,3B,STL,MLB,ATH,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Manny Machado,3B,SD,MLB,ATH,X,,X,,,,,,1,,1,rostered,32000000,32000000,32000000,UFA,,,,,,,,,,
Otto Kemp,3B,PHI,MLB,ATH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Fernando Tatis Jr,OF,SD,MLB,ATH,X,,X,,,,,,1,,1,rostered,20714285,25714285,25714285,36714285,36714285,36714285,36714285,36714285,36714285,UFA,,,,
Ronald Acuna,OF,ATL,MLB,ATH,X,,X,,,,,,1,,1,rostered,17000000,17000000,17000000,UFA,,,,,,,,,,
Spencer Horwitz,OF,TOR,MLB,ATH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Taylor Ward,OF,LAA,MLB,ATH,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
John Rave,OF,KC,MLB,ATH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Tarik Skubal,SP,DET,MLB,ATH,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Freddy Peralta,SP,MIL,MLB,ATH,X,,X,,,,,,1,,1,rostered,8000000,UFA,,,,,,,,,,,,
Sonny Gray,SP,BOS,MLB,ATH,X,,X,,,,,,1,,1,rostered,18000000,UFA,,,,,,,,,,,,
Bryan Woo,SP,SEA,MLB,ATH,X,,X,,,,,,0,,1,rostered,760000,ARB 2,ARB 3,UFA,,,,,,,,,,
