name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Connor Wong,C,BOS,MLB,ATL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Rodolfo Duran,C,NYY,MLB,ATL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Keibert Ruiz,C,WSH,MLB,ATL,X,,X,,,,,,1,,1,rostered,5000000,5000000,7000000,9000000,11500000,12000000,14000000,UFA,,,,,,
Jake Cronenworth,1B,SD,MLB,ATL,X,,X,,,,,,1,,1,rostered,12000000,12000000,12000000,12000000,12000000,UFA,,,,,,,,
Ozzie Albies,2B,ATL,MLB,ATL,X,,X,,,,,,1,,1,rostered,7000000,7000000,UFA,,,,,,,,,,,
Cooper Bowman,2B,NYY,MLB,ATL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
William Lugo,SS,NYM,MLB,ATL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jose Salas,SS,DET,MLB,ATL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jake Fox,SS,CLE,MLB,ATL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Victor Acosta,SS,SD,MLB,ATL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nico Hoerner,SS,CHC,MLB,ATL,X,,X,,,,,,1,,1,rostered,12000000,UFA,,,,,,,,,,,,
