name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
David Fry,C,CLE,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Sean Bouchard,1B,COL,MLB,BAL,,X,,,,,,,0,,0,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jose Caballero,2B,SEA,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Michael Busch,2B,CHC,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Oneil Cruz,SS,PIT,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Anthony Volpe,SS,NYY,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Tyler Freeman,SS,CLE,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Kahlil Watson,SS,CLE,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Joseph Ortiz,SS,MIL,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brayan Rocchio,SS,CLE,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Leonardo Jimenez,SS,TOR,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jose Tena,SS,CLE,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Isaac Parades,3B,HOU,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Brett Baty,3B,NYM,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Graham Pauley,3B,SD,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Spencer Jones,OF,NYY,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
James Wood,OF,WSH,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Brandon Marsh,OF,PHI,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Trevor Larnach,OF,MIN,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Dylan Crews,OF,WSH,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dominic Fletcher,OF,ARZ,MLB,BAL,,X,,,,,,,0,,0,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Logan Gilbert,SP,SEA,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Dean Kremer,SP,BAL,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Michael King,SP,SD,MLB,BAL,X,,X,,,,,,0,,1,rostered,11625000,23250000,23250000,23250000,34875000,UFA,,,,,,,,
Hunter Brown,SP,HOU,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
JP Sears,SP,SD,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Braxton Garrett,SP,MIA,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Drew Thorpe,SP,CHW,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kyle Harrison,SP,BOS,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jack Leiter,SP,TEX,MLB,BAL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Richard Fitts,SP,BOS,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Hayden Wesneski,SP,HOU,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Matt Manning,SP,DET,MLB,BAL,,X,,,,,,,0,,0,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Trevor Rogers,SP,BAL,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Adbert Alzolay,RP,CHC,MLB,BAL,,X,,,,,,,0,,0,rostered,ARB 3,UFA,,,,,,,,,,,,
Jordan Wicks,RP,CHC,MLB,BAL,,X,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Matt Brash,RP,SEA,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Fernando Cruz,RP,NYY,MLB,BAL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Chase Petty,RP,CIN,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Cam Schlittler,RP,NYY,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Ricky Tiedemann,RP,TOR,MLB,BAL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
