name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Nate Lowe,1B,WSH,MLB,BOS,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Jose Altuve,2B,HOU,MLB,BOS,X,,X,,,,,,1,,1,rostered,54000000,36000000,UFA,,,,,,,,,,,
Jace Jung,2B,DET,MLB,BOS,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Lenyn Sosa,2B,CHW,MLB,BOS,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Andy Ibanez,2B,TEX,MLB,BOS,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Marco Luciano,SS,SF,MLB,BOS,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Willy Adames,SS,MIL,MLB,BOS,X,,X,,,,,,1,,1,rostered,18375000,18375000,UFA,,,,,,,,,,,
Adael Amador,SS,COL,MLB,BOS,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Liover Peguero,SS,PIT,MLB,BOS,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jake Burger,3B,CHW,MLB,BOS,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Bryan Ramos,3B,CHW,MLB,BOS,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Miguel Vargas,3B,CHW,MLB,BOS,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Deyvison De Los Santos,3B,MIA,MLB,BOS,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Randy Arozarena,OF,TB,MLB,BOS,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Evan Carter,OF,TEX,MLB,BOS,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Michael Harris,OF,ATL,MLB,BOS,X,,X,,,,,,1,,1,rostered,8000000,9000000,10000000,10000000,12000000,15000000,20000000,UFA,,,,,,
Jake Meyers,OF,HOU,MLB,BOS,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Zac Veen,OF,COL,MLB,BOS,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
