name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Miguel Amaya,C,CHC,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Drew Romo,C,COL,MLB,CHC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Willson Contreras,1B,STL,MLB,CHC,X,,X,,,,,,1,,1,rostered,18500000,27750000,UFA,,,,,,,,,,,
Wes Clarke,1B,MIL,MLB,CHC,,X,,,,,,,0,,0,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Warming Bernabel,1B,COL,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Demetrio Nadal,2B,MIL,MLB,CHC,,X,,,,,,,0,,0,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Adam Frazier,2B,BAL,MLB,CHC,X,,X,,,,,,1,,1,rostered,6500000,UFA,,,,,,,,,,,,
Marcus Semien,2B,TEX,MLB,CHC,X,,X,,,,,,1,,1,rostered,26000000,26000000,20000000,UFA,,,,,,,,,,
Casey Schmitt,2B,SF,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Cooper Kinney,2B,TB,MLB,CHC,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Cole Young,2B,SEA,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Corey Seager,SS,TEX,MLB,CHC,X,,X,,,,,,1,,1,rostered,31500000,31500000,31500000,31500000,31500000,31500000,31500000,UFA,,,,,,
Denzer Guzman,SS,LAA,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Eddys Leonard,SS,DET,MLB,CHC,,X,,,,,,,0,,0,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ronny Mauricio,3B,NYM,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Oswaldo Cabrera,3B,NYY,MLB,CHC,X,,X,,,,,,0,,1,rostered,1200000,ARB 2,ARB 3,UFA,,,,,,,,,,
Wilfred Veras,3B,CHW,MLB,CHC,,X,,,,,,,0,,0,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Alec Bohm,3B,PHI,MLB,CHC,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
A.J. Vukovich,3B,ARZ,MLB,CHC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Gage Workman,3B,DET,MLB,CHC,,X,,,,,,,0,,0,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
