name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Logan O'Hoppe,C,LAA,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Dillon Dingler,C,DET,MLB,CIN,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Sam Huff,C,TEX,MLB,CIN,,X,,,,,,,0,,0,rostered,ARB 1 (S2),ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
Matt Olson,1B,ATL,MLB,CIN,X,,X,,,,,,1,,1,rostered,22000000,22000000,22000000,22000000,22000000,UFA,,,,,,,,
Jacob Berry,2B,MIA,MLB,CIN,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Royce Lewis,SS,MIN,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Jeremy Pena,SS,HOU,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
JJ Wetherholt,SS,STL,MLB,CIN,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ryan McMahon,3B,COL,MLB,CIN,X,,X,,,,,,1,,1,rostered,16000000,8000000,UFA,,,,,,,,,,,
Matt Shaw,3B,CHC,MLB,CIN,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jung Hoo Lee,OF,SF,MLB,CIN,X,,X,,,,,,1,,1,rostered,23000000,23000000,23000000,23000000,23000000,UFA,,,,,,,,
Aaron Judge,OF,NYY,MLB,CIN,X,,X,,,,,,1,,1,rostered,38275000,62550000,62550000,62550000,UFA,,,,,,,,,
Jay Allen,OF,CIN,MLB,CIN,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Adolis Garcia,OF,TEX,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Teoscar Hernandez,OF,LAD,MLB,CIN,X,,X,,,,,,1,,1,rostered,21000000,21000000,UFA,,,,,,,,,,,
Jarren Duran,OF,BOS,MLB,CIN,X,,X,,,,,,0,,1,rostered,8000000,ARB 3,ARB 4,UFA,,,,,,,,,,
Jhostynxon Garcia,OF,BOS,MLB,CIN,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zack Littell,SP,TB,MLB,CIN,X,,X,,,,,,1,,1,rostered,8000000,8000000,UFA,,,,,,,,,,,
Kutter Crawford,SP,BOS,MLB,CIN,,X,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Gavin Williams,SP,CLE,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ben Brown,SP,CHC,MLB,CIN,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Logan Webb,SP,SF,MLB,CIN,X,,X,,,,,,0,,1,rostered,23000000,23000000,24000000,UFA,,,,,,,,,,
Josiah Gray,SP,WSH,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Nick Lodolo,SP,CIN,MLB,CIN,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Cade Horton,SP,CHC,MLB,CIN,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Joe Rock,SP,COL,MLB,CIN,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cole Henry,RP,WSH,MLB,CIN,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Yuki Matsui,RP,SD,MLB,CIN,,X,,,,,,,1,,0,rostered,9000000,9000000,UFA,,,,,,,,,,,
Sam Bachman,RP,LAA,MLB,CIN,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
