name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Will Smith,C,LAD,MLB,CLE,X,,X,,,,,,1,,1,rostered,11000000,11000000,7500000,7500000,7500000,7500000,7500000,7950000,UFA,,,,,
Ivan Herrera,C,STL,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Endy Rodriguez,C,PIT,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Nick Yorke,2B,PIT,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Bryson Stott,SS,PHI,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Taylor Walls,SS,TB,MLB,CLE,X,,X,,,,,,0,,1,rostered,2450000,ARB 3,UFA,,,,,,,,,,,
Tanner Schobel,SS,MIN,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Matthew Lugo,SS,BOS,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Mark Vientos,3B,NYM,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Josh Lowe,OF,TB,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Carlos Cortes,OF,NYM,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Kyler Fedko,OF,MIN,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
James Outman,OF,LAD,MLB,CLE,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Drew Gilbert,OF,HOU,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Tommy Pham,OF,FA,MLB,CLE,X,,X,,,,,,1,,1,rostered,1000000,UFA,,,,,,,,,,,,
Denzel Clarke,OF,ATH,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Reese Olson,SP,DET,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Bailey Ober,SP,MIN,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Bailey Falter,SP,PIT,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jake Irvin,SP,WSH,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brandon Pfaadt,SP,ARZ,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Christian Scott,SP,NYM,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cade Povich,SP,MIN,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Bryan Hudson,RP,MIL,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tim Herrin,RP,CLE,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Justin Slaten,RP,TEX,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Trevor Megill,RP,MIL,MLB,CLE,,X,,,,,,,1,,0,rostered,900000,UFA,,,,,,,,,,,,
Tanner Banks,RP,CHW,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jake Latz,RP,TEX,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Brandon Walter,RP,BOS,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Mitch Bratt,RP,ARZ,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Juan Morillo,RP,ARZ,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Eduard Bazardo,RP,BOS,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Dylan Ross,RP,NYM,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Wilber Dotel,RP,PIT,MLB,CLE,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nick Mears,RP,PIT,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Robert Garcia,RP,TEX,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Grant Holmes,RP,ATL,MLB,CLE,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Steven Wilson,RP,SD,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Brock Burke,RP,TEX,MLB,CLE,,X,,,,,,,0,,0,rostered,ARB 3,UFA,,,,,,,,,,,,
Mason Thompson,RP,WSH,MLB,CLE,,X,,,,,,,0,,0,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Aaron Ashby,RP,MIL,MLB,CLE,X,,X,,,,,,0,,1,rostered,5500000,7500000,9000000,13000000,UFA,,,,,,,,,
Tony Santillan,RP,CIN,MLB,CLE,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Scott Effross,RP,CHC,MLB,CLE,,X,,,,,,,0,,0,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Marco Dinges,C,MIL,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Vellojin,C,CIN,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Javier Sanchez,C,TEX,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Paul McIntosh,C,MIA,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Romeo Sanabria,C,SD,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trenton Brooks,1B,SF,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gage Miller,2B,MIA,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peyton Stovall,2B,CIN,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Henry Godbout,2B,BOS,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jay Beshears,2B,SD,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alejandro Nunez,SS,HOU,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ty Southisene,SS,CHC,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colin Houck,SS,NYM,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gavin Kilen,SS,SF,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Larry Suero,SS,COL,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mikey Romero,SS,BOS,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Manuel Beltre,SS,TOR,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Reylin Perez,SS,DET,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nerwilian Cedeno,SS,SD,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rubel Cespedes,3B,MIN,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wilder Dalis,3B,COL,MLB,CLE,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
