name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Kyle Higashioka,C,TEX,MLB,COL,X,,X,,,,,,1,,1,rostered,9000000,UFA,,,,,,,,,,,,
Hunter Goodman,C,COL,MLB,COL,X,,X,,,,,,1,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tyler Stephenson,C,CIN,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Adrian Sugastey,C,SF,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Spencer Torkelson,1B,DET,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jonathan India,2B,CIN,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Xander Bogaerts,2B,SD,MLB,COL,X,,X,,,,,,1,,1,rostered,20000000,UFA,,,,,,,,,,,,
Matt Chapman,3B,SF,MLB,COL,X,,X,,,,,,1,,1,rostered,24000000,24000000,UFA,,,,,,,,,,,
John Rhodes,3B,BAL,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
David Hamilton,SS,BOS,MLB,COL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
CJ Abrams,SS,WSH,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Dansby Swanson,SS,CHC,MLB,COL,X,,X,,,,,,1,,1,rostered,15000000,UFA,,,,,,,,,,,,
Seiya Suzuki,OF,CHC,MLB,COL,X,,X,,,,,,1,,1,rostered,25500000,25500000,25500000,UFA,,,,,,,,,,
Ian Happ,OF,CHC,MLB,COL,X,,X,,,,,,1,,1,rostered,35500000,UFA,,,,,,,,,,,,
Sal Frelick,OF,MIL,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Brenton Doyle,OF,COL,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jesse Franklin,OF,ATL,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Brayan Buelvas,OF,ATH,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Paul Skenes,SP,PIT,MLB,COL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Nathan Eovaldi,SP,TEX,MLB,COL,X,,X,,,,,,1,,1,rostered,20000000,20000000,UFA,,,,,,,,,,,
Ryan Pepiot,SP,LAD,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Shota Imanaga,SP,CHC,MLB,COL,X,,X,,,,,,1,,1,rostered,25600000,25600000,25600000,25600000,25600000,UFA,,,,,,,,
Casey Mize,SP,DET,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Matt Liberatore,SP,STL,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Drew Rasmussen,SP,TB,MLB,COL,X,,X,,,,,,0,,1,rostered,5750000,8000000,UFA,,,,,,,,,,,
Reynaldo Lopez,SP,ATL,MLB,COL,X,,X,,,,,,1,,1,rostered,10000000,UFA,,,,,,,,,,,,
Cooper Criswell,SP,TB,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Max Meyer,SP,MIA,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Josh Hader,RP,SD,MLB,COL,X,,X,,,,,,1,,1,rostered,20500000,UFA,,,,,,,,,,,,
Seth Halvorsen,RP,COL,MLB,COL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jake Bird,RP,COL,MLB,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jason Foley,RP,DET,MLB,COL,X,,X,,,,,,1,,1,rostered,5500000,5500000,UFA,,,,,,,,,,,
Bennett Sousa,RP,MIL,MLB,COL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cole Sands,RP,MIN,MLB,COL,X,,X,,,,,,1,,1,rostered,4000000,UFA,,,,,,,,,,,,
Jack Perkins,RP,ATH,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nick Robertson,RP,STL,MLB,COL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Tanner Rainey,RP,WSH,MLB,COL,,X,X,,,,,,1,,1,rostered,1125000,UFA,,,,,,,,,,,,
Willie MacIver,C,COL,MLB,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sebastian De Andrade,C,SEA,MLB,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gustavo Baptista,C,CLE,MLB,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Silva,C,MIN,MLB,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
