name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Danny Jansen,C,TB,MLB,DET,X,,X,,,,,,1,,1,rostered,10000000,UFA,,,,,,,,,,,,
DJ LeMahieu,1B,NYY,MLB,DET,X,,X,,,,,,1,,1,rostered,22500000,UFA,,,,,,,,,,,,
Chris Meyers,1B,DET,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ryan Noda,1B,CHW,MLB,DET,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Mickey Gasper,2B,MIN,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Oliver Dunn,2B,MIL,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Amed Rosario,2B,FA,MLB,DET,X,,X,,,,,,1,,1,rostered,13250000,13250000,UFA,,,,,,,,,,,
Robert Puason,SS,ATH,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Luisangel Acuna,SS,NYM,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jake Alu,3B,WAS,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Shay Whitcomb,3B,HOU,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Justice Bigbie,3B,DET,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Alexander Ramirez,OF,LAA,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jose Siri,OF,HOU,MLB,DET,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Chas McCormick,OF,HOU,MLB,DET,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Dominic Canzone,OF,SEA,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Michael Conforto,OF,LAD,MLB,DET,X,,X,,,,,,1,,1,rostered,17500000,17500000,UFA,,,,,,,,,,,
Kyle Isbel,OF,KC,MLB,DET,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Justyn-Henry Malloy,OF,DET,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Joey Wiemer,OF,KC,MLB,DET,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Junior Franco,OF,ARZ,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Hunter Bishop,OF,SF,MLB,DET,X,,X,,,,,,0,,1,rostered,,,,,,,,,,,,,,
Jacob Hurtubise,OF,CIN,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jordan Hicks,SP,FA,MLB,DET,X,,X,,,,,,1,,1,rostered,9000000,9000000,9000000,UFA,,,,,,,,,,
Charlie Morton,SP,BAL,MLB,DET,X,,X,,,,,,1,,1,rostered,16500000,UFA,,,,,,,,,,,,
Keider Montero,SP,DET,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Hunter Dobbins,SP,BOS,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Juan Nunez,SP,BAL,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Brady Basso,SP,ATH,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Tyler Wells,SP,BAL,MLB,DET,,X,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Rico Garcia,P,BAL,MLB,DET,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jesse Scholtens,RP,SD,MLB,DET,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Tyler Holton,RP,DET,MLB,DET,X,,X,,,,,,1,,1,rostered,7500000,7500000,7500000,UFA,,,,,,,,,,
Reed Garrett,RP,NYM,MLB,DET,X,,X,,,,,,1,,1,rostered,7500000,UFA,,,,,,,,,,,,
Blake Treinen,RP,LAD,MLB,DET,X,,X,,,,,,1,,1,rostered,8000000,UFA,,,,,,,,,,,,
Shane Drohan,RP,BOS,MLB,DET,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Brian O'Keefe,C,SEA,MLB,DET,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
