name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Francisco Alvarez,C,NYM,MLB,HOU,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Patrick Bailey,C,SF,MLB,HOU,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ricardo Olivar,C,MIN,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dominic Keegan,1B,TB,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Yandy Diaz,1B,TB,MLB,HOU,X,,X,,,,,,1,,1,rostered,12000000,UFA,,,,,,,,,,,,
Bryce Harper,1B,PHI,MLB,HOU,X,,X,,,,,,1,,1,rostered,27538462,27538462,27538462,23538462,23538462,37307693,UFA,,,,,,,
Jonathan Aranda,2B,TB,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Gleyber Torres,2B,DET,MLB,HOU,X,,X,,,,,,1,,1,rostered,21300000,21300000,21300000,UFA,,,,,,,,,,
Colt Keith,2B,DET,MLB,HOU,X,,X,,,,,,1,,1,rostered,4000000,4000000,5000000,5000000,10000000,13000000,15000000,UFA,,,,,,
Miguel Rojas,SS,LAD,MLB,HOU,X,,X,,,,,,1,,1,rostered,7500000,UFA,,,,,,,,,,,,
Gabriel Arias,SS,CLE,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jose Fermin,SS,STL,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Angel Genao,SS,CLE,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Carson Williams,SS,TB,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
James Triantos,SS,CHC,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Oswald Peraza,3B,NYY,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jordan Westburg,3B,BAL,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Davis Schneider,OF,TOR,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Andy Pages,OF,LAD,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Heston Kjerstad,OF,BAL,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Matt Wallner,OF,MIN,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Daylen Lile,OF,WSH,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Yohendrick Pinango,OF,CHC,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Akil Baddoo,OF,DET,MLB,HOU,,X,,,,,,,0,,0,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Yusei Kikuchi,SP,LAA,MLB,HOU,X,,X,,,,,,1,,1,rostered,25000000,25000000,UFA,,,,,,,,,,,
Robbie Ray,SP,SEA,MLB,HOU,X,,X,,,,,,1,,1,rostered,35500000,UFA,,,,,,,,,,,,
Eduardo Rodriguez,SP,DET,MLB,HOU,X,,X,,,,,,1,,1,rostered,24000000,UFA,,,,,,,,,,,,
Nick Pivetta,SP,BOS,MLB,HOU,X,,X,,,,,,1,,1,rostered,11250000,11250000,11250000,UFA,,,,,,,,,,
Michael Wacha,SP,KC,MLB,HOU,X,,X,,,,,,1,,1,rostered,13470000,13470000,UFA,,,,,,,,,,,
Tanner Houck,SP,BOS,MLB,HOU,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Stephen Kolek,SP,SD,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Ryan Bergert,SP,KC,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
JP France,SP,HOU,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jack Kochanowicz,SP,LAA,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Connor Prielipp,SP,MIN,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Manuel Rodriguez,RP,TB,MLB,HOU,X,,X,,,,,,1,,1,rostered,1600000,1600000,1600000,UFA,,,,,,,,,,
Keegan Akin,RP,BAL,MLB,HOU,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Ryan Zeferjahn,RP,LAA,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Leondro Lopez,P,TEX,MLB,HOU,,X,X,,,,,,0,,1,rostered,,,,,,,,,,,,,,
Louie Varland,RP,MIN,MLB,HOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Alex Pham,RP,BAL,MLB,HOU,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Josh Caron,C,SEA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Olmos,C,KC,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Meza,C,TOR,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Shliger,C,SF,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Deinys Gonzalez,C,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cesar Mujica,C,PHI,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Will Banfield,C,MIA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Drew Compton,1B,ATL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blake Burke,1B,MIL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Gurevitch,1B,STL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Corey Collins,1B,NYM,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lazaro Montes,1B,SEA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
David Mershon,2B,LAA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Drew Faurot,2B,MIA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kyle Debarge,SS,MIN,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson DeMartini,SS,PHI,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brayden Taylor,SS,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maui Ahuna,SS,SF,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mitch Jebb,SS,PIT,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Prato,SS,MIN,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ben Ross,SS,MIN,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Danny Serretti,SS,DET,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Diego Benitez,SS,ATL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ivan Johnson,SS,CIN,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Reckley,SS,SF,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andreimi Antunez,SS,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aaron Pinero,SS,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yonny Hernandez,3B,MIL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Xavier Casserilla,3B,HOU,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Casey Saucke,OF,CHW,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kole Myers,OF,LAD,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kevin Alvarez,OF,HOU,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Spencer Nivens,OF,KC,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chris Rotondo,OF,STL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Cermak,OF,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tres Gonzalez,OF,PIT,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colin Barber,OF,HOU,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Erick Hernandez,OF,CHW,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose De Jesus,OF,TEX,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Decker,OF,BOS,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gilberto Celestino,OF,MIN,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jaden Fauske,OF,CHW,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Orlando Martinez,OF,LAA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jordan Brewer,OF,HOU,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brailer Guerrero,OF,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cole Roederer,OF,CHC,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sammy Siani,OF,PIT,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Herman,OF,PIT,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zach DeLoach,OF,CHW,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Leonardo Pineda,OF,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cody Adcock,P,CIN,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gabriel Reyes,P,DET,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sam Whiting,P,SD,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jayvien Sandridge,P,NYY,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mason Nichols,P,TB,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brian Hendry,P,NYY,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Elison Joseph,P,ATL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rolddy Munoz,P,ATL,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonathan Pintaro,P,NYM,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Owens,P,DET,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Neely,P,CHC,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dylan Jordan,P,LAA,MLB,HOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
