name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Joey Bart,C,PIT,MLB,KC,X,,X,,,,,,1,,1,rostered,7000000,7000000,7000000,7000000,UFA,,,,,,,,,
Gabriel Moreno,C,ARZ,MLB,KC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Rhys Hoskins,1B,MIL,MLB,KC,X,,X,,,,,,1,,1,rostered,18000000,18000000,UFA,,,,,,,,,,,
Michael Toglia,1B,COL,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Andrew Vaughn,1B,CHW,MLB,KC,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Alan Roden,1B,TOR,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jeff McNeil,2B,NYM,MLB,KC,X,,X,,,,,,0,,1,rostered,15750000,15750000,UFA,,,,,,,,,,,
Christian Koss,2B,SF,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zack Gelof,2B,ATH,MLB,KC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Euribel Angeles,2B,ATH,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Isiah Kiner-Falefa,SS,PIT,MLB,KC,X,,X,,,,,,1,,1,rostered,16000000,16000000,16000000,UFA,,,,,,,,,,
Ke'Bryan Hayes,3B,PIT,MLB,KC,X,,X,,,,,,1,,1,rostered,7000000,7000000,8000000,8000000,12000000,UFA,,,,,,,,
Christopher Morel,3B,CHC,MLB,KC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jake McCarthy,OF,ARZ,MLB,KC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Clay Holmes,SP,NYM,MLB,KC,X,,X,,,,,,1,,1,rostered,10000000,10000000,UFA,,,,,,,,,,,
Joey Cantillo,SP,CLE,MLB,KC,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Bobby Miller,SP,LAD,MLB,KC,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Kyle Wright,SP,KC,MLB,KC,,X,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Yariel Rodriguez,SP,TOR,MLB,KC,X,,X,,,,,,1,,1,rostered,4000000,4000000,4000000,UFA,,,,,,,,,,
Jeffrey Springs,SP,ATH,MLB,KC,X,,X,,,,,,1,,1,rostered,20000000,UFA,,,,,,,,,,,,
Walker Buehler,SP,LAD,MLB,KC,X,,X,,,,,,1,,1,rostered,12037500,12037500,12037500,12037500,UFA,,,,,,,,,
Mike Soroka,SP,ATL,MLB,KC,X,,X,,,,,,1,,1,rostered,4500000,4500000,4500000,4500000,4500000,,,,,,,,,
Connor Phillips,SP,SEA,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
DJ Herz,SP,WSH,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Daniel Espino,SP,CLE,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Matt Allan,SP,NYM,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Eiberson Castellano,SP,PHI,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Brandon Williamson,SP,CIN,MLB,KC,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Chris Martin,RP,TEX,MLB,KC,X,,X,,,,,,1,,1,rostered,3000000,UFA,,,,,,,,,,,,
Jagger Haynes,RP,SD,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jedixson Paez,RP,BOS,MLB,KC,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Gabe Speier,RP,SEA,MLB,KC,X,,X,,,,,,1,,1,rostered,2000000,2000000,UFA,,,,,,,,,,,
Trent Thornton,RP,SEA,MLB,KC,X,,X,,,,,,1,,1,rostered,1000000,UFA,,,,,,,,,,,,
John McMillon,RP,FA,MLB,KC,,X,,,,,,,1,,0,rostered,2000000,2000000,2000000,UFA,,,,,,,,,,
Kevin Parada,C,NYM,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Easton Carmichael,C,PIT,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Victor Mesia,C,FA,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Vasquez,C,FA,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aron Estrada,2B,BAL,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Enmanuel Valdez,2B,BOS,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Tolbert,2B,KC,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronny Simon,2B,TB,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dean Curley,SS,CLE,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chase Jaworsky,SS,HOU,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
JD Dix,SS,ARZ,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Marconi German,SS,WSH,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Billy Carlson,SS,CHW,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Monistere,SS,HOU,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ruben Santana,3B,ARZ,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dashyll Tejeda,OF,WSH,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jaime Ferrer,OF,MIN,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Casey Cook,OF,TEX,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Wideman,OF,SD,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Pedro Leon,OF,HOU,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Vladi Miguel Guerrero,OF,NYM,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bo Davidson,OF,SF,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jaron Deberry,P,MIL,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Braxton Bragg,P,BAL,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Louis-Philippe Langevin,P,KC,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chih-Jung Liu,P,BOS,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jacob Meador,P,LAD,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Calvin Ziegler,P,NYM,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Walin Castillo,P,MIA,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryce Jarvis,P,ARZ,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Will Hynes,P,CLE,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Matt Canterino,P,MIN,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zach Thornton,P,NYM,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dahian Santos,P,TOR,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rhett Kouba,P,HOU,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Will Rudy,P,MIL,MLB,KC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carter Kieboom,3B,WSH,MLB,KC,,,,,,,,,0,,0,rostered,1500000,1500000,,,,,,,,,,,,
Noah Syndergaard,SP,FA,MLB,KC,,,,,,,,,0,,0,rostered,1000000,1000000,,,,,,,,,,,,
Zach Plesac,SP,FA,MLB,KC,,,,,,,,,0,,0,rostered,500000,,,,,,,,,,,,,
Scott McGough,RP,ARZ,MLB,KC,,,,,,,,,0,,0,rostered,1000000,1000000,,,,,,,,,,,,
Orlando Arcia,SS,ATL,MLB,KC,,,,,,,,,0,,0,rostered,11250000,7500000,7500000,,,,,,,,,,,
Alex Wood,SP,ATH,MLB,KC,,,,,,,,,0,,0,rostered,2625000,,,,,,,,,,,,,
Mike Clevinger,SP,FA,MLB,KC,,,,,,,,,0,,0,rostered,7312500,,,,,,,,,,,,,
Dairon Blanco,OF,KC,MLB,KC,,,,,,,,,0,,0,rostered,2250000,,,,,,,,,,,,,
