name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Sean Murphy,C,ATH,MLB,LAD,X,,X,,,,,,1,,1,rostered,15000000,15000000,15000000,15000000,UFA,,,,,,,,,
Edgar Quero,C,CHW,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Thayron Liranzo,C,DET,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Vinnie Pasquantino,1B,KC,MLB,LAD,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Tyler Locklear,1B,ARZ,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zach McKinstry,2B,DET,MLB,LAD,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Vaughn Grissom,2B,ATL,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brooks Baldwin,2B,CHW,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Javier Sanoja,2B,MIA,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Trea Turner,SS,PHI,MLB,LAD,X,,X,,,,,,1,,1,rostered,31500000,31500000,31500000,31500000,,,,,,,,,,
Jadher Areinamo,SS,TB,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Rafael Devers,3B,BOS,MLB,LAD,X,,X,,,,,,1,,1,rostered,26250000,26250000,26250000,26250000,26250000,26250000,UFA,,,,,,,
Andres Chaparro,3B,WSH,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Junior Caminero,3B,TB,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Yordan Alvarez,OF,HOU,MLB,LAD,X,,X,,,,,,1,,1,rostered,13000000,26000000,26000000,UFA,,,,,,,,,,
Pete-Crow Armstrong,OF,CHC,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Nick Castellanos,OF,PHI,MLB,LAD,X,,X,,,,,,1,,1,rostered,20000000,UFA,,,,,,,,,,,,
Esmerlyn Valdez,OF,PIT,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Gabriel Gonzalez,OF,MIN,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Victor Arias,OF,TOR,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Emmanuel Rodriguez,OF,MIN,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jonathan Clase,OF,SEA,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Corbin Burnes,SP,MIL,MLB,LAD,X,,X,,,,,,1,,1,rostered,23455500,23455500,23455500,23455500,UFA,,,,,,,,,
Joe Ryan,SP,MIN,MLB,LAD,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Zack Wheeler,SP,PHI,MLB,LAD,X,,X,,,,,,1,,1,rostered,35250000,35250000,UFA,,,,,,,,,,,
Pablo Lopez,SP,MIN,MLB,LAD,X,,X,,,,,,1,,1,rostered,21500000,21500000,UFA,,,,,,,,,,,
Shane Smith,SP,CHW,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Tobias Myers,SP,CLE,MLB,LAD,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Kris Bubic,SP,KC,MLB,LAD,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Colton Gordon,SP,HOU,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Carson Whisenhunt,SP,SF,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Nic Enright,SP,CLE,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kyle Hurt,RP,LAD,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jojo Romero,RP,STL,MLB,LAD,X,,X,,,,,,1,,1,rostered,760000,UFA,,,,,,,,,,,,
Ronny Henriquez,RP,MIN,MLB,LAD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
