name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Adrian Del Castillo,C,ARZ,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Bo Naylor,C,CLE,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tim Elko,1B,CHW,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Tyler Black,2B,MIL,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Yunior Severino,2B,MIN,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jeremiah Jackson,SS,LAA,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Chandler Simpson,SS,TB,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Gavin Lux,SS,CIN,MLB,MIL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Nick Allen,SS,ATH,MLB,MIL,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
Brooks Lee,SS,MIN,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Davis Wendzel,3B,TEX,MLB,MIL,,X,,,,,,,0,,0,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Coby Mayo,3B,BAL,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Gavin Cross,OF,KC,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Victor Robles,OF,WSH,MLB,MIL,X,,X,,,,,,1,,1,rostered,3975000,UFA,,,,,,,,,,,,
Mickey Moniak,OF,LAA,MLB,MIL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Juan Soto,OF,NYM,MLB,MIL,X,,X,,,,,,0,,1,rostered,46500000,46500000,46500000,46500000,46500000,UFA,,,,,,,,
Grant McCray,OF,SF,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Colton Cowser,OF,BAL,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jorge Soler,OF,LAA,MLB,MIL,X,,X,,,,,,1,,1,rostered,13500000,13500000,13500000,UFA,,,,,,,,,,
Ryan Vilade,OF,COL,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Griffin Conine,OF,MIA,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Hunter Greene,SP,CIN,MLB,MIL,X,,X,,,,,,1,,1,rostered,8000000,15000000,16000000,21000000,UFA,,,,,,,,,
Tomoyuki Sugano,SP,BAL,MLB,MIL,X,,X,,,,,,1,,1,rostered,10500000,UFA,,,,,,,,,,,,
Spencer Strider,SP,ATL,MLB,MIL,X,,X,,,,,,1,,1,rostered,20000000,22000000,22000000,22000000,UFA,,,,,,,,,
Ryan Weathers,SP,SD,MLB,MIL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jose Berrios,SP,TOR,MLB,MIL,X,,X,,,,,,1,,1,rostered,18714285,24714285,24714285,UFA,,,,,,,,,,
Shane Baz,SP,TB,MLB,MIL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Logan Henderson,SP,MIL,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jose Corniell,SP,TEX,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cole Wilcox,SP,TB,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Garrett Hawkins,P,SD,MLB,MIL,,X,,,,,,,0,,0,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Steven Okert,RP,MIA,MLB,MIL,X,,X,,,,,,1,,1,rostered,900000,UFA,,,,,,,,,,,,
Adrian Morejon,RP,SD,MLB,MIL,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Chase Lee,RP,ATL,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zach Agnos,RP,COL,MLB,MIL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ethan Small,RP,MIL,MLB,MIL,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Silas Ardoin,C,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Stafford,C,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yasmil Bucce,C,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jancel Villarroel,C,HOU,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
David McCabe,1B,ATL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kyle Nevin,1B,LAD,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tre Morgan,1B,TB,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alfonso Rivas,1B,CHC,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryant Betancourt,1B,COL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joseph Naranjo,1B,WSH,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cole Cummings,1B,SD,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Roynier Hernandez,2B,COL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Rodriguez,2B,LAA,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wehiwa Aloy,2B,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
RJ Austin,2B,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Williams Wong,2B,TEX,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Adamczewski,SS,MIL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Pena,SS,MIL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Keiver Garcia,SS,NYM,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josi Novas,SS,KC,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Leandro Arias,SS,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Keoni Cavaco,SS,MIN,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Emilio Sanchez,SS,BAL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Escobar,SS,CHC,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bernard Moon,SS,CIN,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Noah Mendlinger,3B,STL,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tommy White,3B,ATH,MLB,MIL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
