name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Yainer Diaz,C,HOU,MLB,NYM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Samuel Basallo,C,BAL,MLB,NYM,X,,X,,,,,,0,,1,rostered,1625000,1625000,1625000,4625000,7635000,11625000,15625000,18000000,UFA,,,,,
Joe Mack,C,MIA,MLB,NYM,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Triston Casas,1B,BOS,MLB,NYM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Kody Clemens,1B,DET,MLB,NYM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
Luke Raley,1B,SEA,MLB,NYM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Michael Massey,2B,KC,MLB,NYM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Curtis Mead,2B,CWS,MLB,NYM,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Gunnar Henderson,SS,BAL,MLB,NYM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Daniel Schneemann,SS,CLE,MLB,NYM,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
