name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Caleb Durbin,SS,MIL,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cameron Cauley,SS,TEX,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Parker Meadows,OF,DET,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Miguel Bleis,OF,BOS,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nathan Lukes,OF,TOR,MLB,NYY,X,,X,,,,,,1,,1,rostered,1000000,1000000,UFA,,,,,,,,,,,
Kala'i Rosario,OF,MIN,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Isaac Collins,OF,MIL,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Javier Assad,SP,CHC,MLB,NYY,X,,X,,,,,,1,,1,rostered,8000000,8000000,8000000,8000000,UFA,,,,,,,,,
Taj Bradley,SP,MIN,MLB,NYY,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Eury Perez,SP,MIA,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Luis Garcia,SP,HOU,MLB,NYY,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Grayson Rodriguez,SP,BAL,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Chase Silseth,SP,LAA,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Josh Stephan,SP,TEX,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jean Cabrera,SP,PHI,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Andry Lara,SP,WSH,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Emiliano Teodo,SP,TEX,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Wikelman Gonzalez,SP,BOS,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Angel Bastardo,SP,BOS,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Austin Peterson,P,CLE,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Thomas Harrington,RP,PIT,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Brandon Birdsell,RP,CHC,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Henry LaLane,RP,NYY,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Drey Jameson,RP,ARZ,MLB,NYY,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Hayden Birdsong,RP,SF,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
David Davalillo,RP,TEX,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jhancarlos Lara,RP,ATL,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Tanner McDougal,RP,CHW,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Evan Phillips,RP,LAD,MLB,NYY,,X,,,,,,,1,,0,rostered,8760000,8760000,UFA,,,,,,,,,,,
Hunter Bigge,RP,CHC,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Grant Holman,RP,ATH,MLB,NYY,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Franco Aleman,RP,CLE,MLB,NYY,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Ike Irish,C,BAL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jacob Sharp,C,SEA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Christopher Suero,C,NYM,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Flores,C,LAA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Parababire,C,ATL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rainiel Rodriguez,C,STL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Kross,1B,STL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Welbyn Francisca,2B,CLE,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robert Moore,2B,PHI,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Javier Mogollon,2B,CHW,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jansel Luis,2B,ARZ,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nikau Pouaka-Grego,2B,PHI,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Narciso Polanco,2B,TB,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colt Emerson,SS,SEA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wyatt Sanford,SS,PIT,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Enmanuel Tejeda,SS,NYY,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jeremy Rivas,SS,STL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Warel Solano,SS,TB,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nieves Izaguirre,SS,PHI,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Meykel Baro,SS,BAL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jeral Perez,SS,LAD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gavin Fien,SS,TEX,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryan Acuna,SS,MIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryan Rincon,SS,PHI,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kevin McGonigle,SS,DET,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anyelo Encarnacion,SS,STL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Starlyn Nunez,SS,BOS,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Dickson,SS,DET,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cade McGee,3B,STL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Erick Lara,3B,TB,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alejandro Cruz,3B,CHW,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Adams,3B,MIL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Pablo Nunez,OF,CIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yorger Bautista,OF,SEA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cameron Decker,OF,LAD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brandon Winokur,OF,MIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kenny Fenelon,OF,MIL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Slater de Brun,OF,BAL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brendan Tunink,OF,LAD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Clifford,OF,HOU,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Harold Rivas,OF,BOS,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alessander De La Cruz,OF,COL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gian Zapata,OF,ARZ,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jett Williams,OF,NYM,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Paulino Santana,OF,TEX,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sebastian Rojas,OF,ATH,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Tavares,OF,WSH,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis de Léon,P,BAL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Braylon Doughty,P,CLE,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hunter Dryden,P,SF,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Argenis Cayama,P,SFG,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mason Marriot,P,ARZ,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Melvin Hernandez,P,MIL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dylan Questad,P,MIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jurrangelo Cijntje,P,SEA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Riley Quick,P,MIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robby Porco,P,LAD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ty Johnson,P,TB,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kevin Defrank,P,MIA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesus Travieso,P,BOS,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Adrian Pena,P,MIA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Cabrera,P,ARZ,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eliazar Dishmey,P,MIA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Logan Lunceford,P,LAD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cam Leiter,P,LAD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yu-Min Lin,P,ARZ,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Braylon Owens,P,MIL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juaron Watts-Brown,P,TOR,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brett Wichrowski,P,MIL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Sloan,P,SEA,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
David Shields,P,KC,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chase Burns,P,CIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Sears,P,DET,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hunter Owen,P,KC,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kash Mayfield,P,SD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ben Hess,P,NYY,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Thatcher Hurd,P,NYY,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Santiago Castellanos,P,MIN,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chase Mobley,P,CLE,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kendry Chourio,P,KC,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Gallagher,P,CHC,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Clark Candiotti,P,SD,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caden Favors,P,CLE,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brett Sears,P,ATL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
George Klassen,P,PHI,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ian Mejia,P,ATL,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Austin Peterson,P,CLE,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
James Hicks,P,HOU,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Grant Taylor,P,CHW,MLB,NYY,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
