name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Ryan Jeffers,C,MIN,MLB,PHI,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Jeferson Quero,C,MIL,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Hunter Feduccia,C,LAD,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Vladimir Guerrero Jr,1B,TOR,MLB,PHI,X,,X,,,,,,0,,1,rostered,25620000,25620000,25620000,25620000,25620000,UFA,,,,,,,,
Brandon Lowe,2B,TB,MLB,PHI,X,,X,,,,,,1,,1,rostered,11500000,19320000,19320000,19320000,UFA,,,,,,,,,
Hao Yu Lee,2B,PHI,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Bo Bichette,SS,TOR,MLB,PHI,X,,X,,,,,,1,,1,rostered,29110000,29110000,29110000,29110000,29110000,29110000,29110000,UFA,,,,,,
Bobby Witt Jr.,SS,KC,MLB,PHI,X,,X,,,,,,1,,1,rostered,13000000,19000000,30000000,35000000,35000000,35000000,35000000,35000000,35000000,33000000,28000000,28000000,UFA,
Jose Fernandez,SS,ARZ,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
JJ Bleday,OF,ATH,MLB,PHI,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Alejandro Osuna,OF,TEX,MLB,PHI,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Zach Cole Jr,OF,HOU,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Steven Kwan,OF,CLE,MLB,PHI,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Corbin Carroll,OF,ARZ,MLB,PHI,X,,X,,,,,,1,,1,rostered,10000000,12000000,14000000,28000000,28000000,28000000,UFA,,,,,,,
Brayan Bello,SP,BOS,MLB,PHI,X,,X,,,,,,1,,1,rostered,6000000,8500000,16000000,19000000,21000000,UFA,,,,,,,,
Spencer Arrighetti,SP,HOU,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Kodai Senga,SP,NYM,MLB,PHI,X,,X,,,,,,1,,1,rostered,31751000,31751000,UFA,,,,,,,,,,,
Tanner Bibee,SP,CLE,MLB,PHI,X,,X,,,,,,1,,1,rostered,4400000,7400000,10400000,21400000,21400000,UFA,,,,,,,,
Yoshinobu Yamamoto,SP,LAD,MLB,PHI,X,,X,,,,,,1,,1,rostered,51750000,51750000,51750000,51750000,51750000,UFA,,,,,,,,
Quinn Priester,SP,MIL,MLB,PHI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Yordanny Monegro,SP,BOS,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Yoniel Curet,SP,TB,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Trevor McDonald,SP,SF,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Brandon Young,SP,BAL,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Hunter Gaddis,RP,CLE,MLB,PHI,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Justin Martinez,RP,ARZ,MLB,PHI,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Chase Hampton,RP,NYY,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Tyler Uberstine,P,BOS,MLB,PHI,,X,X,,,,,,0,,1,rostered,,,,,,,,,,,,,,
John Klein,P,MIN,MLB,PHI,,X,X,,,,,,0,,1,rostered,,,,,,,,,,,,,,
Ronan Kopp,RP,LAD,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Alex McFarlane,RP,PHI,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Peter Fairbanks,RP,TB,MLB,PHI,X,,X,,,,,,1,,1,rostered,7000000,UFA,,,,,,,,,,,,
James McArthur,RP,KC,MLB,PHI,,X,X,,,,,,0,,1,rostered,810000,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
Luis Mey,RP,CIN,MLB,PHI,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Edgardo Henriquez,RP,LAD,MLB,PHI,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nathan Flewelling,C,TB,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lamar King,C,SD,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alberto Barriga,C,ARZ,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Edgleen Perez,C,PIT,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Justin Gonzales,1B,BOS,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chris Arroyo,1B,MIA,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Pedro Blanco,1B,ARZ,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Gutierrez,2B,SF,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronald Terrero,2B,BAL,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rosman Verdugo,2B,SD,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Bello,SS,NYY,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trey Snyder,SS,NYM,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Naibel Mariano,SS,CIN,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Demetrio Crisantes,SS,ARZ,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Deivid Coronil,SS,SD,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ramcell Medina,SS,KC,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Sanchez,SS,TOR,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
DJ Layton,SS,BAL,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tate Southisene,SS,ATL,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darwin Almanzar,SS,MIN,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Abreu,SS,MIA,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel Salio,SS,CIN,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rodny Rosario,SS,CLE,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel De Los Santos,SS,DET,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darell Morel,SS,PIT,MLB,PHI,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
