name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Eric Haase,C,DET,MLB,PIT,,X,,,,,,,0,,0,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Kyle Teel,C,CHW,MLB,PIT,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Henry Davis,C,PIT,MLB,PIT,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Gavin Sheets,1B,CHW,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Maikel Garcia,SS,KC,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Geraldo Perdomo,SS,ARZ,MLB,PIT,X,,X,,,,,,1,,1,rostered,6250000,9250000,12250000,7125000,15000000,UFA,,,,,,,,
Romy Gonzalez,3B,CHW,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Emmanuel Rivera,3B,KC,MLB,PIT,,X,,,,,,,0,,0,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Yoan Moncada,3B,LAA,MLB,PIT,X,,X,,,,,,1,,1,rostered,10000000,UFA,,,,,,,,,,,,
Tyler O'Neill,OF,STL,MLB,PIT,X,,X,,,,,,0,,1,rostered,8775000,8775000,UFA,,,,,,,,,,,
Jo Adell,OF,LAA,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Riley Greene,OF,DET,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Richie Palacios,OF,STL,MLB,PIT,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
George Valera,OF,CLE,MLB,PIT,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Eloy Jiminez,UT,TB,MLB,PIT,,X,,,,,,,1,,0,rostered,5000000,5000000,UFA,,,,,,,,,,,
Alek Manoah,SP,TOR,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Bubba Chandler,SP,PIT,MLB,PIT,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Luis Medina,SP,ATH,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Miguel Mendez,SP,SD,MLB,PIT,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Luis Gil,SP,NYY,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jordan Montgomery,SP,ARZ,MLB,PIT,X,,X,,,,,,1,,1,rostered,7000000,7000000,UFA,,,,,,,,,,,
Aaron Nola,SP,PHI,MLB,PIT,X,,X,,,,,,1,,1,rostered,24000000,36000000,24000000,24000000,UFA,,,,,,,,,
Bryce Miller,SP,SEA,MLB,PIT,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ryan Yarbrough,SP,KC,MLB,PIT,X,,X,,,,,,1,,1,rostered,2000000,UFA,,,,,,,,,,,,
Jairo Iriarte,SP,CHW,MLB,PIT,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Luis Perales,SP,BOS,MLB,PIT,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jonathan Loaisiga,RP,NYY,MLB,PIT,X,,X,,,,,,1,,1,rostered,4000000,4000000,UFA,,,,,,,,,,,
