name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Kristian Campbell,1B,BOS,MLB,SD,X,,X,,,,,,1,,1,rostered,2250000,3250000,4250000,6250000,9250000,13250000,16250000,19000000,21000000,UFA,,,,
Ben Rice,1B,NYY,MLB,SD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Matt Vierling,3B,DET,MLB,SD,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Randal Grichuk,OF,ARI,MLB,SD,X,,X,,,,,,1,,1,rostered,4000000,UFA,,,,,,,,,,,,
Harrison Bader,OF,MIN,MLB,SD,X,,X,,,,,,1,,1,rostered,7800000,UFA,,,,,,,,,,,,
Jake Mangum,OF,TB,MLB,SD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Blake Perkins,OF,MIL,MLB,SD,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Trei Cruz,OF,DET,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
David Peterson,SP,NYM,MLB,SD,X,,X,,,,,,0,,1,rostered,9200000,UFA,,,,,,,,,,,,
Jack Flaherty,SP,DET,MLB,SD,X,,X,,,,,,1,,1,rostered,8100000,UFA,,,,,,,,,,,,
Winston Santos,SP,TEX,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jacob Lopez,SP,ATH,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Logan Evans,SP,SEA,MLB,SD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Julian Aguiar,SP,CIN,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Paul Gervase,RP,LAD,MLB,SD,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Orion Kerkering,RP,PHI,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Bryan King,RP,HOU,MLB,SD,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Mason Barnett,RP,KC,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Robinson Ortiz,RP,LAD,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Brandan Bidois,RP,TB,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Alex Cook,RP,TB,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Braden Nett,RP,ATH,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jake Miller,RP,DET,MLB,SD,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Emmanuel Clase,RP,CLE,MLB,SD,SUS,SUS,X,,,,,,1,,1,rostered,6400000,10000000,10000000,UFA,,,,,,,,,,
Dylan Lee,RP,ATL,MLB,SD,X,,X,,,,,,0,,1,rostered,3000000,ARB 3,ARB 4,UFA,,,,,,,,,,
Will Bush,C,HOU,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Axiel Plaz,C,PIT,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alfredo Duno,C,CIN,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eduardo Tait,C,MIN,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caleb Ricketts,C,PHI,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yunior Amparo,1B,NYM,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jackson Lovich,1B,NYY,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Randy Guzman,1B,NYM,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Ortuno,1B,MIL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Payton Eeles,2B,MIN,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
JR Freethy,2B,TOR,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Spencer Bivens,SS,SD,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesus Made,SS,MIL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Dickerson,SS,WSH,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ricardo Cabrera,SS,CIN,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eliomar Garces,SS,TB,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aroon Escobar,SS,PHI,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jeral Perez,SS,LAD,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brock Wilken,3B,MIL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Hill,3B,CLE,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Browm Martinez,OF,NYY,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eduardo Quintero,OF,LAD,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josue Brito,OF,BOS,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
PJ Morlando,OF,MIA,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Diego Tornes,OF,ATL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kane Kepley,OF,CHC,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mason Neville,OF,CIN,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jace LaViolette,OF,CLE,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tucker Flint,OF,LAA,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Randy De Jesus,OF,LAA,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kien Vu,OF,CIN,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kevyn Castillo,OF,LAA,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alfonsin Rosario,OF,CHC,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rio Foster,OF,LAA,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
TJ McCants,OF,CHW,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Keith Jones Jr.,OF,TEX,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yophery Rodriguez,OF,MIL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Everett Catlett,P,COL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
AJ Russell,P,TEX,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Denny Larrondo,P,ARZ,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Esteban Mejia,P,BAL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Nunez,P,BAL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Santiago Suarez,P,TB,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mason Miller,P,KC,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Greg Weissert,RP,BOS,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rodney Boone,P,CLE,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Paul Gervase,P,NYM,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hancel Rincon,P,STL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tucker Novotny,P,ATH,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Xavier Rivas,P,NYY,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
McCade Brown,SP,COL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sebastian Gongora,P,BAL,MLB,SD,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
