name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Agustin Ramirez,C,MIA,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jimmy Crooks,C,STL,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Kyle Manzardo,1B,CLE,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Blaze Jordan,1B,BOS,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Nick Gonzales,2B,PIT,MLB,SEA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Alex Freeland,SS,LAD,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Carlos Colmenarez,SS,TB,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nolan Arenado,3B,STL,MLB,SEA,X,,X,,,,,,1,,1,rostered,27000000,32500000,UFA,,,,,,,,,,,
Aaron Zavala,OF,TEX,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jack Suwinski,OF,PIT,MLB,SEA,X,,X,,,,,,0,,1,rostered,1250000,ARB 2,ARB 3,UFA,,,,,,,,,,
Christian Yelich,OF,MIL,MLB,SEA,X,,X,,,,,,1,,1,rostered,26000000,26000000,13000000,20000000,UFA,,,,,,,,,
Robert Hassell,OF,WSH,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kristian Robinson,OF,ARZ,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dustin Harris,OF,TEX,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Heriberto Hernandez,OF,MIA,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Sean Burke,SP,CHW,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Mick Abel,SP,MIN,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Antonio Senzatela,SP,COL,MLB,SEA,X,,X,,,,,,1,,1,rostered,12000000,14000000,UFA,,,,,,,,,,,
Andre Pallante,SP,STL,MLB,SEA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Kumar Rocker,SP,TEX,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Shane McClanahan,SP,TB,MLB,SEA,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Carson Spiers,SP,CIN,MLB,SEA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Davis Martin,SP,CHW,MLB,SEA,X,,X,,,,,,1,,1,rostered,6000000,6000000,6000000,6000000,6000000,UFA,,,,,,,,
Marco Raya,SP,MIN,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Cade Cavalli,SP,WSH,MLB,SEA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Cade Smith,RP,CLE,MLB,SEA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Blade Tidwell,RP,NYM,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Randy Rodriguez,RP,SF,MLB,SEA,X,,X,,,,,,1,,1,rostered,850000,UFA,,,,,,,,,,,,
Jorge Alcala,RP,MIN,MLB,SEA,X,,X,,,,,,1,,1,rostered,1000000,UFA,,,,,,,,,,,,
CJ Culpepper,RP,MIN,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
David Sandlin,RP,KC,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Marc Church,RP,TEX,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jeremiah Estrada,RP,SD,MLB,SEA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ben Peoples,RP,TB,MLB,SEA,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Anderson Araujo,C,PHI,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Miguel Caraballo,C,SF,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Benavides,C,DET,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ramon Landaeta,C,ATH,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Enry Torres,C,CIN,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Conner O'Neal,C,LAD,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Hernandez,C,WSH,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Marcano,C,TEX,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Antonio Gomez,C,NYY,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
David Ortiz Jr,1B,TEX,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brock Vradenburg,1B,MIA,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Arturo Disla,1B,TEX,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blaine Crim,1B,TEX,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rikuu Nishida,2B,CHW,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Christian Cairo,2B,ATL,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sebastian Dos Santos,2B,STL,MLB,SEA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
