name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Jonah Heim,C,TEX,MLB,SF,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Pedro Pages,C,STL,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Carter Jensen,C,KC,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Anthony Seigler,C,NYY,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Christian Walker,1B,ARZ,MLB,SF,X,,X,,,,,,1,,1,rostered,16350000,16350000,UFA,,,,,,,,,,,
Ivan Melendez,1B,ARZ,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Abimelec Ortiz,1B,TEX,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Andruw Monasterio,2B,MIL,MLB,SF,X,,X,,,,,,1,,1,rostered,3700000,3700000,UFA,,,,,,,,,,,
Luis García,2B,WSH,MLB,SF,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Kyle Farmer,2B,COL,MLB,SF,,X,,,,,,,1,,0,rostered,2500000,UFA,,,,,,,,,,,,
Ezequiel Tovar,SS,COL,MLB,SF,X,,X,,,,,,1,,1,rostered,5000000,8000000,11000000,14000000,16000000,23000000,UFA,,,,,,,
Edwin Arroyo,SS,CIN,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Pedro Ramirez,SS,CHC,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Ryan Ritter,SS,COL,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Izaac Pacheco,3B,DET,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Addison Barger,3B,TOR,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Bryan De La Cruz,OF,ATL,MLB,SF,,X,,,,,,,0,,0,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
TJ Friedl,OF,CIN,MLB,SF,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Byron Buxton,OF,MIN,MLB,SF,X,,X,,,,,,1,,1,rostered,15142857,15142857,15142858,UFA,,,,,,,,,,
Dylan Beavers,OF,BAL,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Hendry Mendez,OF,MIL,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Lourdes Gurriel Jr,OF,ARZ,MLB,SF,X,,X,,,,,,0,,1,rostered,8100000,8100000,8100000,UFA,,,,,,,,,,
Anthony Santander,OF,TOR,MLB,SF,X,,X,,,,,,0,,1,rostered,17550000,17550000,17550000,UFA,,,,,,,,,,
Kyle Bradish,SP,BAL,MLB,SF,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Shohei Ohtani,SP,LAA,MLB,SF,X,,X,,,,,,1,,1,rostered,45000000,45000000,45000000,45000000,45000000,UFA,,,,,,,,
Tyler Mahle,SP,CIN,MLB,SF,X,,X,,,,,,1,,1,rostered,11250000,11250000,11250000,UFA,,,,,,,,,,
Joe Musgrove,SP,SD,MLB,SF,X,,X,,,,,,1,,1,rostered,12937500,12937500,UFA,,,,,,,,,,,
Ranger Suarez,SP,PHI,MLB,SF,X,,X,,,,,,0,,1,rostered,22040000,22040000,22040000,22040000,UFA,,,,,,,,,
Jack Dreyer,SP,LAD,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Osvaldo Bido,SP,ATH,MLB,SF,X,,X,,,,,,1,,1,rostered,2000000,UFA,,,,,,,,,,,,
Ryan Feltner,SP,COL,MLB,SF,,X,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jonathan Cannon,SP,CHW,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Triston Mckenzie,SP,CLE,MLB,SF,,X,,,,,,,0,,0,rostered,ARB 3,UFA,,,,,,,,,,,,
Andrew Abbott,SP,CIN,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Joel Payamps,RP,MIL,MLB,SF,X,,X,,,,,,1,,1,rostered,4000000,UFA,,,,,,,,,,,,
Daniel Palencia,RP,CHC,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Gabriel Hughes,RP,COL,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Andrew Morris,RP,MIN,MLB,SF,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Victor Vodnik,RP,COL,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Anthony Bender,RP,MIA,MLB,SF,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Erik Miller,RP,SF,MLB,SF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Pablo Aliendo,C,CHC,MLB,SF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nathan Hickey,C,BOS,MLB,SF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jacob Cozart,C,CLE,MLB,SF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Drew Millas,C,WSH,MLB,SF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yovanny Rodriguez,C,NYM,MLB,SF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Payton,C,SF,MLB,SF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
