name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Salvador Perez,C,KC,MLB,STL,X,,X,,,,,,1,,1,rostered,13500000,UFA,,,,,,,,,,,,
Ben Rortvedt,C,NYY,MLB,STL,,X,X,,,,,,1,,1,rostered,760000,UFA,,,,,,,,,,,,
Braxton Fulford,C,COL,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Paul Goldschmidt,1B,STL,MLB,STL,X,,X,,,,,,1,,1,rostered,14500000,14500000,UFA,,,,,,,,,,,
Bryce Eldridge,1B,SF,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Andres Gimenez,2B,CLE,MLB,STL,X,,X,,,,,,1,,1,rostered,15000000,23000000,23000000,23000000,23000000,UFA,,,,,,,,
Leo Rivas,SS,SEA,MLB,STL,,X,X,,,,,,1,,1,rostered,1500000,UFA,,,,,,,,,,,,
Carlos Correa,SS,HOU,MLB,STL,X,,X,,,,,,1,,1,rostered,29000000,29000000,29000000,43500000,UFA,,,,,,,,,
Josh Smith,2B,TEX,MLB,STL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Angel Martinez,SS,CLE,MLB,STL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Marcelo Mayer,SS,BOS,MLB,STL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Nasim Nunez,SS,MIA,MLB,STL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jazz Chisholm,3B,NYY,MLB,STL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Max Kepler,OF,PHI,MLB,STL,X,,X,,,,,,1,,1,rostered,10000000,10000000,UFA,,,,,,,,,,,
Luis Robert,OF,CWS,MLB,STL,X,,X,,,,,,1,,1,rostered,20000000,20000000,UFA,,,,,,,,,,,
Kyle Schwarber,OF,PHI,MLB,STL,X,,X,,,,,,1,,1,rostered,26250000,26250000,UFA,,,,,,,,,,,
Samuel Zavala,OF,SD,MLB,STL,,X,X,,,,,,0,,1,rostered,,,,,,,,,,,,,,
Cody Bellinger,OF,CHC,MLB,STL,X,,X,,,,,,1,,1,rostered,18000000,18000000,18000000,18000000,UFA,,,,,,,,,
Jake Fraley,OF,CIN,MLB,STL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
MacKenzie Gore,SP,WSH,MLB,STL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Carlos Rodon,SP,NYY,MLB,STL,X,,X,,,,,,1,,1,rostered,33750000,UFA,,,,,,,,,,,,
Jameson Taillon,SP,CHC,MLB,STL,X,,X,,,,,,1,,1,rostered,19380000,19380000,UFA,,,,,,,,,,,
Gerrit Cole,SP,NYY,MLB,STL,X,,X,,,,,,1,,1,rostered,36000000,36000000,54000000,UFA,,,,,,,,,,
Luis Ortiz,SP,CLE,MLB,STL,,X,,,,,,,0,,0,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Michael Burrows,SP,PIT,MLB,STL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Raimon Gomez,SP,NYM,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Trey Yesavage,SP,TOR,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Cole Sulser,RP,TB,MLB,STL,,X,,,,,,,0,,0,rostered,ARB 3,UFA,,,,,,,,,,,,
Brant Hurter,RP,DET,MLB,STL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Bryse Wilson,RP,PIT,MLB,STL,,X,,,,,,,1,,0,rostered,ARB 3,UFA,,,,,,,,,,,,
Joel Diaz,RP,NYM,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Henry Williams,RP,SD,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Andres Munoz,RP,SEA,MLB,STL,X,,X,,,,,,1,,1,rostered,1875000,1875000,1875000,UFA,,,,,,,,,,
Bryan Abreu,RP,HOU,MLB,STL,X,,X,,,,,,1,,1,rostered,8260000,8260000,8260000,UFA,,,,,,,,,,
Jhoan Duran,RP,PHI,MLB,STL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Max Lazar,RP,PHI,MLB,STL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ethan Roberts,RP,CHC,MLB,STL,,X,X,,,,,,1,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jake Madden,RP,LAA,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Sean Reynolds,RP,SD,MLB,STL,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Angel Zerpa,RP,KC,MLB,STL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Caleb Lomavita,C,WSH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daiverson Gutierrez,C,NYM,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Tess,C,BAL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brooks Brannon,C,BOS,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronaldo Hernandez,C,BOS,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angelo Hernandez,C,CHW,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Franklin Rojas,C,TOR,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gabriel Guanchez,C,SEA,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jared Jones,1B,PIT,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cade Doughty,2B,TOR,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexander Vargas,SS,NYY,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ali Camarillo,SS,ATH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Elaineiker Coronado,SS,TOR,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yorvit Diaz,SS,ATH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Rujano,SS,STL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Curley Martha,SS,TEX,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Mielcarek,SS,STL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Lines,SS,TB,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Cabada,SS,CHC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ayden Johnson,SS,ATH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexis Hernandez,SS,CHC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alika Williams,SS,PIT,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Abraham Nunez,SS,CHW,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ludwing Espinoza,SS,CHC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Geraldo Quintero,SS,ATL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maikol Orozco,SS,DET,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jude Warwick,SS,STL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Willian Trinidad,SS,TB,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sebastian Walcott,SS,TEX,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonathan Mejia,SS,STL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peyton Carr,3B,MIN,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alex Binelas,3B,BOS,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andy Polanco,OF,SF,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Millan,OF,HOU,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Asbel Gonzalez,OF,KC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cole McConnell,OF,CHW,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sean Gamble,OF,KC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brett Bateman,OF,CHC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Isaias Castillo,OF,NYY,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robin Ortiz,OF,CHC,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Clay Winklaar,OF,SDP,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bralyn Brazoban,OF,PIT,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonah Cox,OF,ATH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Douglas Glod,OF,ATL,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Raymond Mola,OF,PIT,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darling Fernandez,OF,ATH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Obispo,OF,WSH,MLB,STL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
