name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Shea Langeliers,C,ATH,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Freddy Fermin,C,KC,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Korey Lee,C,CHW,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Dalton Rushing,C,LAD,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Christian Encarnacion-Strand,1B,CIN,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Nolan Schanuel,1B,LAA,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Nolan Gorman,2B,STL,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jackson Holliday,SS,BAL,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Masyn Winn,SS,STL,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ryan Bliss,SS,SEA,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jeimer Candelario,3B,CIN,MLB,TB,,X,X,,,,,,1,,1,rostered,15800000,15800000,15800000,UFA,,,,,,,,,,
Josh Jung,3B,TEX,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Alek Thomas,OF,ARZ,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Nathan Church,OF,STL,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Mike Trout,OF,LAA,MLB,TB,X,,X,,,,,,0,,1,rostered,37166666,37166666,37166666,37166666,55674999,UFA,,,,,,,,
Rhylan Thomas,OF,SEA,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jac Caglianone,OF,KC,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jackson Chourio,OF,MIL,MLB,TB,X,,X,,,,,,1,,1,rostered,7000000,8000000,9000000,15000000,16000000,2500000,25000000,25000000,UFA,,,,,
Will Brennan,OF,CLE,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Victor Mesa Jr.,OF,MIA,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Emmet Sheehan,SP,LAD,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Garrett Crochet,SP,BOS,MLB,TB,X,,X,,,,,,1,,1,rostered,24800000,28800000,28800000,28800000,28800000,30000000,15000000,UFA,,,,,,
Justin Steele,SP,CHC,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Michael Lorenzen,SP,KC,MLB,TB,X,,X,,,,,,1,,1,rostered,11250000,11250000,11250000,UFA,,,,,,,,,,
Bradley Blalock,SP,COL,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Doug Nikhazy,SP,CLE,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jose Soriano,SP,LAA,MLB,TB,X,,X,,,,,,1,,1,rostered,2000000,2000000,UFA,,,,,,,,,,,
Chase Dollander,SP,COL,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
David Morgan,SP,SD,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Nolan McLean,SP,NYM,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Edwin Diaz,RP,NYM,MLB,TB,X,,X,,,,,,1,,1,rostered,15300000,UFA,,,,,,,,,,,,
J.T. Ginn,RP,ATH,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Antwone Kelly,RP,PIT,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Josh White,RP,MIA,MLB,TB,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Kenley Jansen,RP,BOS,MLB,TB,X,,X,,,,,,1,,1,rostered,5000000,UFA,,,,,,,,,,,,
Braydon Fisher,RP,LAD,MLB,TB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Mason Miller,RP,SD,MLB,TB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Almen Tolentino,C,MIA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
JC Escarra,C,NYY,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesus Galiz,C,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yeiner Fernandez,C,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Ignoffo,C,MIA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson Taylor,C,PHI,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Keaton Anthony,1B,PHI,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jostin Ogando,1B,BOS,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Elijah Hainline,2B,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carter Trice,2B,CHC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darren Baker,2B,WSH,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Louis Andujar,2B,BOS,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jaydn Fielder,2B,MIL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Taylor Young,2B,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alex De Jesus,2B,TOR,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yonaiker Hernandez,SS,SD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jorge Quintana,SS,MIL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caden Powell,SS,HOU,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Marek Houston,SS,MIN,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Arana,SS,MIA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Santiago Almao,OF,TEX,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Griff O'Ferrall,SS,BAL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sam Mongelli,SS,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nicandro Aybar,SS,TB,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Gelof,3B,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Fischer,3B,MIL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Rojas,3B,HOU,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Schnell,OF,WSH,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Jimenez,OF,SEA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hedbert Perez,OF,MIL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kasen Wells,OF,SD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Junior Marin,OF,KC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sam Petersen,OF,WSH,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Victor Cardoza,OF,PHI,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joseph Sullivan,OF,HOU,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Logan Braunschweig,OF,ATL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jake Casaey,OF,TOR,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Peoples,OF,TB,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zach Ehrhard,OF,BOS,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Seth Stephenson,OF,DET,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryan Torres,OF,STL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Nowak,OF,KC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Contreras,OF,TB,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sebastian Pena,OF,SD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Braylon Payne,OF,MIL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Picollo,OF,SEA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Morejon,OF,COL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josue de Paula,OF,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Biddison,OF,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Pino,OF,STL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jimmy Joyce,P,SEA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sean Matson,P,CLE,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brian Van Belle,P,TB,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daviel Hurtado,P,NYM,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yorber Semprun,P,NYM,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Pedro Santos,P,ATH,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aidan Major,P,CLE,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Bello,P,HOU,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson Laws,P,MIA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Karl Kauffmann,SP,COL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jackson Finley,P,ATH,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ty Langenberg,P,MIN,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Freddy Contreras,P,KC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Logan Martin,P,KC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyson Guerrero,P,KC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jackson Wentworth,P,TOR,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Amarante,P,PHI,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brad Pacheco,P,PHI,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dale Stanavich,P,MIA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yoel Tejeda Jr.,P,WSH,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Moreno,P,NYM,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Felipe De La Cruz,P,NYM,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Trentadue,P,TEX,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Bolivar,P,STL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Montero,P,CIN,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Drake George,P,SF,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Davis Polo,P,ATL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kenyi Perez,P,CHC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brian Holiday,P,STL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Frankie Scalzo,P,CHC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blake Money,P,BAL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wande Torres,P,MIL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Greysen Carter,P,NYY,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
JP Wheat,P,CHC,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryce Mayer,P,HOU,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Charlie Beilenson,P,SEA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brandt Thompson,P,STL,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Lashutka,P,MIA,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson Hobbs,P,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jerming Rosario,P,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lenny Torres,P,CLE,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
John Rooney,P,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peter Heubeck,P,LAD,MLB,TB,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Evan White,1B,LAA,MLB,TB,,,,,,,,,0,,0,rostered,3000000,3300000,3750000,,,,,,,,,,,
