name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Tyler Soderstrom,C,ATH,MLB,TEX,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Pavin Smith,1B,ARZ,MLB,TEX,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Zach Neto,2B,LAA,MLB,TEX,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Will Wagner,2B,HOU,MLB,TEX,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cesar Prieto,SS,BAL,MLB,TEX,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
JP Crawford,SS,SEA,MLB,TEX,X,,X,,,,,,1,,1,rostered,12000000,UFA,,,,,,,,,,,,
Edmundo Sosa,SS,PHI,MLB,TEX,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Kyren Paris,SS,LAA,MLB,TEX,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jose Ramirez,3B,CLE,MLB,TEX,X,,X,,,,,,1,,1,rostered,21000000,21000000,21000000,UFA,,,,,,,,,,
Colby Thomas,OF,ATH,MLB,TEX,X,,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Hudson Haskin,OF,BAL,MLB,TEX,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jorge Barrosa,OF,ARZ,MLB,TEX,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kevin Alcantara,OF,CHC,MLB,TEX,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ken Waldichuk,SP,ATH,MLB,TEX,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Simeon Woods-Richardson,SP,MIN,MLB,TEX,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
