name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Travis d'Arnaud,C,LAA,MLB,TOR,,X,,,,,,,1,,0,rostered,4000000,UFA,,,,,,,,,,,,
Garrett Stubbs,C,PHI,MLB,TOR,,X,,,,,,,0,,0,rostered,ARB 3,UFA,,,,,,,,,,,,
Liam Hicks,C,TEX,MLB,TOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kody Huff,C,COL,MLB,TOR,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Willi Castro,2B,MIN,MLB,TOR,X,,X,,,,,,0,,1,rostered,16010000,16010000,16010000,16010000,16010000,UFA,,,,,,,,
Tsung-Che Cheng,2B,PIT,MLB,TOR,,X,,,,,,,0,,0,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Thairo Estrada,SS,SF,MLB,TOR,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Brice Matthews,SS,HOU,MLB,TOR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Blaze Alexander,SS,ARZ,MLB,TOR,,X,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Daniel Vazquez,SS,KC,MLB,TOR,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Cristian Hernandez,SS,CHC,MLB,TOR,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
