name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Brandon Valenzuela,C,SD,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jose Trevino,C,CIN,MLB,WSH,X,,X,,,,,,1,,1,rostered,760000,UFA,,,,,,,,,,,,
Wilmer Flores,1B,SF,MLB,WSH,X,,X,,,,,,1,,1,rostered,14700000,14700000,UFA,,,,,,,,,,,
Josh Bell,1B,WSH,MLB,WSH,X,,X,,,,,,1,,1,rostered,19500000,UFA,,,,,,,,,,,,
Ji-Hwan Bae,2B,PIT,MLB,WSH,,X,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Enrique Hernandez,2B,FA,MLB,WSH,X,,X,,,,,,1,,1,rostered,6000000,UFA,,,,,,,,,,,,
Jorbit Vivas,2B,NYY,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Hyeseong Kim,2B,LAD,MLB,WSH,X,,X,,,,,,1,,1,rostered,17500000,17500000,17500000,17500000,UFA,,,,,,,,,
Elly De La Cruz,SS,CIN,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Noah Miller,SS,MIN,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Ezequiel Duran,SS,TEX,MLB,WSH,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ben Williamson,3B,SEA,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Julio Rodriguez,OF,SEA,MLB,WSH,X,,X,,,,,,0,,1,rostered,18000000,18000000,18000000,18000000,18000000,18000000,18000000,18000000,UFA,,,,,
Tyrone Taylor,OF,MIL,MLB,WSH,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Troy Johnston,OF,MIA,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jordan Walker,OF,STL,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Kameron Misner,OF,TB,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Owen Caissie,OF,CHC,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Everson Pereira,OF,NYY,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
John Means,SP,BAL,MLB,WSH,X,,X,,,,,,0,,1,rostered,4987500,4987500,UFA,,,,,,,,,,,
Patrick Sandoval,SP,LAA,MLB,WSH,X,,X,,,,,,0,,1,rostered,12750000,UFA,,,,,,,,,,,,
Carson Palmquist,SP,COL,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Bowden Francis,SP,TOR,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Carlos Rodriguez,SP,MIL,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dax Fulton,SP,MIA,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Andrew Nardi,RP,MIA,MLB,WSH,X,,X,,,,,,1,,1,rostered,10000000,10000000,10000000,UFA,,,,,,,,,,
Jackson Rutledge,RP,WSH,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dylan Dodd,RP,ATL,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
Jesus Tinoco,RP,MIA,MLB,WSH,,X,,,,,,,1,,0,rostered,2500000,2500000,UFA,,,,,,,,,,,
Dylan Smith,RP,DET,MLB,WSH,,X,X,,,,,,0,,1,rostered,760000,TC,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,
George Soriano,RP,MIA,MLB,WSH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jair Camargo,C,MIN,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blake Mitchell,C,KC,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Moises Marchan,C,KC,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Khadim Diaw,C,MIN,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Deivis Velasquez,C,PHI,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brady Cerkownyk,C,DET,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Creed Willems,C,BAL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ruben Ibarra,1B,CIN,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Christian Saez,1B,STL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tanner Thach,1B,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brock Rodden,2B,SEA,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colby Halter,2B,ATH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yulian Barreto,SS,SF,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alam Bruno,SS,ARZ,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Konnor Griffin,SS,PIT,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Kuroda-Grauer,SS,ATH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wilfri De La Cruz,SS,CHC,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brayan Cortesia,SS,WSH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Manny Cedeno,SS,NYY,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bobby Boser,SS,ATH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Osleivis Basabe,SS,TB,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caleb Bonemer,SS,CHW,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jhonny Severino,SS,MIL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rosniell De Paula,SS,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eli Willits,SS,WSH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Starlyn Caba,SS,PHI,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jheremy Vargas,SS,MIL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Guerrero,SS,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Israfell Bautista,SS,TB,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Javier Osorio,SS,DET,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anderson Fermin,SS,BOS,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yensi Rivas,SS,NYM,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yandel Ricardo,SS,KC,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blake Wright,3B,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robert Hipwell,3B,SF,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonathan Ornelas,3B,TEX,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Cerice,3B,KC,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peyton Graham,3B,DET,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Julio Carreras,3B,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gleider Figuereo,3B,TEX,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Mann,3B,ATH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Roldy Brito,3B,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trey Lipscomb,OF,WSH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexander Canario,OF,CHC,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kenedy Corona,OF,HOU,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Breyson Guedez,OF,ATH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jared Thomas,OF,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chase Davis,OF,STL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Edward Guribe,OF,STL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Edwin Brito,OF,BOS,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Coby Morales,OF,NYY,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Guanipa,OF,ATL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Charlie Condon,OF,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
John Cruz,OF,NYY,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joe Lampe,OF,CLE,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Matt Fraizer,OF,PIT,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Branden Boissiere,OF,WSH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Malvin Valdez,OF,CIN,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Deward Tovar,OF,TEX,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Elias Perez,OF,SEA,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bohan Adderley,OF,NYM,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Orlando Patino,OF,CHW,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Evan Estevez,OF,SF,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yoxander Benitez,OF,SF,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tavano Baker,OF,BOS,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brian Tiburcio,P,COL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Duran,P,PHI,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yordan Rodriguez,P,ATH,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Keyner Benitez,P,MIA,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hunter Allen,P,BAL,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Randall,P,DET,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robinson Smith,P,PIT,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kruz Schoolcraft,P,SD,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Eyanson,P,BOS,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yoslaniel Hernandez,P,PIT,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trey Gregory-Alford,P,LAA,MLB,WSH,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
