name,position,mlb_team,league_id,fantasy_team_id,fa_status
Peyton Gray,RP,TEX,AA,,available
Seth Gray,"1B,3B",(N/A),AA,,available
Shane Gray,SP,(N/A),AA,,available
Taitn Gray,C,TB,AA,,available
Austin Green,2B,NYY,AA,,available
Elijah Green,OF,WSH,AA,,available
Griffin Green,RP,CIN,AA,,available
Josh Green,RP,(N/A),AA,,available
Landon Green,SP,(N/A),AA,,available
Mason Green,RP,COL,AA,,available
Max Green,"SP,RP",(N/A),AA,,available
Payton Green,SS,MIA,AA,,available
Rodney Green,OF,ATH,AA,,available
Spencer Green,SP,LAD,AA,,available
Conner Greene,RP,(N/A),AA,,available
Isaiah Greene,OF,(N/A),AA,,available
Shane Greene,RP,(N/A),AA,,available
Zach Greene,RP,(N/A),AA,,available
Mason Greenhouse,OF,(N/A),AA,,available
Owen Gregg,SS,TOR,AA,,available
Dylan Grego,2B,SD,AA,,available
Hunter Gregory,RP,TOR,AA,,available
Trey Gregory-Alford,SP,LAA,AA,,available
Zack Greinke,SP,(N/A),AA,,available
Tanner Gresham,SP,PHI,AA,,available
Caden Grice,SP,ARI,AA,,available
David Griffin,"SP,RP",(N/A),AA,,available
Jordin Griffin,OF,(N/A),AA,,available
Jared Grindlinger,1B,(N/A),AA,,available
Grayson Grinsell,SP,DET,AA,,available
Marquis Grissom Jr.,RP,WSH,AA,,available
Rob Griswold,RP,ATL,AA,,available
Jay Groome,SP,(N/A),AA,,available
LuJames Groover,3B,ARI,AA,,available
Jaxx Groshans,C,(N/A),AA,,available
Jordan Groshans,3B,KC,AA,,available
Robbie Grossman,OF,(N/A),AA,,available
Josh Grosz,SP,COL,AA,,available
Robert Gsellman,RP,(N/A),AA,,available
Ruei Yang Gu Lin,SP,(N/A),AA,,available
Xiomer Guacache,RP,DET,AA,,available
Omar Guadamuz,3B,CIN,AA,,available
Fernando Guanare,SP,LAA,AA,,available
Alfredo Guanchez,1B,ARI,AA,,available
Gabriel Guanchez,C,SEA,AA,,available
Luis Guanipa,OF,ATL,AA,,available
Wander Guante,RP,ATH,AA,,available
Jakob Guardado,SP,LAA,AA,,available
Manuel Guariman,C,(N/A),AA,,available
Richard Guasch,RP,BAL,AA,,available
Quinn Gudaitis,SP,DET,AA,,available
Jeiker Gudino,C,DET,AA,,available
Breyson Guedez,OF,ATH,AA,,available
Jose Guedez,"SP,RP",HOU,AA,,available
Daniel Guerra,"SP,RP",TOR,AA,,available
Jose Guerra,1B,COL,AA,,available
Luis Guerra,SS,(N/A),AA,,available
Mason Guerra,1B,ATL,AA,,available
Arturo Guerrero,OF,(N/A),AA,,available
Brailer Guerrero,OF,TB,AA,,available
Eduardo Guerrero,"2B,3B,SS",LAD,AA,,available
Henry Guerrero,C,(N/A),AA,,available
Juan Guerrero,OF,COL,AA,,available
Kevin Guerrero,OF,(N/A),AA,,available
Oliver Guerrero,UT,TEX,AA,,available
Pablo Guerrero,1B,TEX,AA,,available
Tayron Guerrero,RP,(N/A),AA,,available
Tyson Guerrero,SP,KC,AA,,available
Vladi Guerrero,1B,NYM,AA,,available
Anderson Guevara,RP,SEA,AA,,available
Diego Guevara,OF,(N/A),AA,,available
Jose Guevara,SP,NYM,AA,,available
Gavin Guidry,SS,(N/A),AA,,available
Freddy Guilamo,C,(N/A),AA,,available
Daniel Guilarte,"2B,3B,OF",MIL,AA,,available
Tyler Guilfoil,RP,HOU,AA,,available
Garret Guillemette,"C,1B",HOU,AA,,available
Frandy Guillen,3B,BAL,AA,,available
Pablo Guillen,SP,(N/A),AA,,available
Xavier Guillen,OF,(N/A),AA,,available
Shawn Guilliams,SP,CIN,AA,,available
Luis Guillorme,"2B,3B",(N/A),AA,,available
Jack Gurevitch,1B,STL,AA,,available
Edward Guribe,3B,STL,AA,,available
Mac Guscette,C,ATL,AA,,available
Harry Gustin,RP,SD,AA,,available
Dalton Guthrie,OF,(N/A),AA,,available
Troy Guthrie,RP,TOR,AA,,available
Abrahan Gutierrez,C,(N/A),AA,,available
Albert Gutierrez,1B,CHC,AA,,available
Anthony Gutierrez,OF,TEX,AA,,available
Carlos Gutierrez,OF,SF,AA,,available
Carlos Gutierrez,OF,(N/A),AA,,available
Daiverson Gutierrez,C,NYM,AA,,available
Dariam Gutierrez,OF,PHI,AA,,available
Eric Gutierrez,RP,MIA,AA,,available
Gerardo Gutierrez,RP,ARI,AA,,available
Jean Gutierrez,RP,(N/A),AA,,available
Jean Gutierrez,OF,(N/A),AA,,available
Joan Gutierrez,3B,MIL,AA,,available
Jose Gutierrez,SP,KC,AA,,available
Luis Gutierrez,SP,SD,AA,,available
Luis Gutierrez,SS,KC,AA,,available
Roque Gutierrez,"SP,RP",LAD,AA,,available
Vladimir Gutierrez,RP,(N/A),AA,,available
Adonys Guzman,C,BOS,AA,,available
Alvin Guzman,RP,ARI,AA,,available
Angel Guzman,1B,SF,AA,,available
Angel Guzman,2B,TOR,AA,,available
Carlos Guzman,RP,NYM,AA,,available
David Guzman,OF,TOR,AA,,available
Diego Guzman,3B,KC,AA,,available
Emilker Guzman,RP,(N/A),AA,,available
Jeison Guzman,SS,(N/A),AA,,available
Jonathan Guzman,SS,MIA,AA,,available
Jorge Guzman,SP,PHI,AA,,available
Michael Guzman,3B,TEX,AA,,available
Randy Guzman,1B,NYM,AA,,available
Ricardo Guzman,SP,TB,AA,,available
Ronald Guzman,1B,(N/A),AA,,available
Ronaldo Guzman,SP,CHW,AA,,available
Walfrent Guzman,1B,SD,AA,,available
Been Gwak,SP,(N/A),AA,,available
Carter Gwost,OF,PIT,AA,,available
Zach Haake,RP,(N/A),AA,,available
Hunter Haas,"1B,3B",TB,AA,,available
Aaron Haase,RP,(N/A),AA,,available
Eric Haase,C,MIL,AA,,available
Jake Haberer,RP,(N/A),AA,,available
Kevin Hacen,3B,(N/A),AA,,available
Adam Hachman,SP,(N/A),AA,,available
Adam Hackenberg,C,CHW,AA,,available
Drue Hackenberg,SP,ATL,AA,,available
Owen Hackman,SP,ATL,AA,,available
Chris Hacopian,3B,(N/A),AA,,available
Shinnosuke Hada,SP,(N/A),AA,,available
Woody Hadeen,"2B,SS,OF",DET,AA,,available
David Hagaman,SP,ARI,AA,,available
Ryan Hagenow,SP,(N/A),AA,,available
Jesse Hahn,RP,SEA,AA,,available
Adam Haight,SS,(N/A),AA,,available
Elijah Hainline,"2B,SS",LAD,AA,,available
Jalen Hairston,3B,CIN,AA,,available
Landon Hairston,OF,(N/A),AA,,available
Jeffrey Hakanson,"SP,RP",(N/A),AA,,available
Matt Halbach,1B,CHC,AA,,available
Cade Halemanu,RP,(N/A),AA,,available
Skylar Hales,RP,STL,AA,,available
Jim Haley,2B,(N/A),AA,,available
Talon Haley,SP,LAA,AA,,available
Adam Hall,OF,MIL,AA,,available
Anthony Hall,OF,(N/A),AA,,available
Bubba Hall,RP,WSH,AA,,available
Darick Hall,1B,(N/A),AA,,available
Jakob Hall,RP,MIN,AA,,available
Nathan Hall,OF,ARI,AA,,available
Nathan Hall,SP,NYM,AA,,available
Noah Hall,SP,NYM,AA,,available
Owen Hall,SP,DET,AA,,available
Ryan Hall,SP,DET,AA,,available
Steele Hall,SS,CIN,AA,,available
Tanner Hall,SP,MIN,AA,,available
Tayden Hall,1B,MIL,AA,,available
Patrick Halligan,RP,HOU,AA,,available
Mike Hallquist,3B,(N/A),AA,,available
Colby Halter,"2B,3B",ATH,AA,,available
Dominic Hambley,RP,CHC,AA,,available
Billy Hamilton,OF,CHC,AA,,available
Quincy Hamilton,OF,(N/A),AA,,available
River Hamilton,SP,DET,AA,,available
Xander Hamilton,RP,MIN,AA,,available
Jaden Hamm,SP,DET,AA,,available
Bryson Hammer,RP,COL,AA,,available
Dan Hammer,RP,TB,AA,,available
JD Hammer,RP,(N/A),AA,,available
Zach Hammer,"SP,RP",(N/A),AA,,available
Ethan Hammerberg,RP,CHW,AA,,available
Blake Hammond,RP,ATH,AA,,available
Josh Hammond,"3B,SS",KC,AA,,available
Jace Hampson,SP,NYM,AA,,available
Chase Hampton,SP,NYY,AA,,available
Tyler Hampu,RP,COL,AA,,available
Kailen Hamson,SP,BAL,AA,,available
Ty Hanchey,C,SF,AA,,available
Brad Hand,RP,(N/A),AA,,available
Mitch Haniger,OF,(N/A),AA,,available
Ethan Hankins,SP,(N/A),AA,,available
Jake Hanley,1B,(N/A),AA,,available
Mo Hanley,RP,(N/A),AA,,available
Jameson Hannah,OF,(N/A),AA,,available
Bradley Hanner,RP,NYY,AA,,available
Josh Hansell,SP,KC,AA,,available
Austin Hansen,"SP,RP",(N/A),AA,,available
Ben Hansen,SP,BOS,AA,,available
Pete Hansen,SP,STL,AA,,available
Luke Hanson,3B,TEX,AA,,available
Parks Harber,3B,SF,AA,,available
Ryan Harbin,"SP,RP",PIT,AA,,available
Tyson Hardin,SP,MIL,AA,,available
Houston Harding,RP,LAA,AA,,available
Tyler Hardman,1B,NYY,AA,,available
Brendan Hardy,RP,COL,AA,,available
Theo Hardy,SS,TEX,AA,,available
Chase Harlan,3B,LAD,AA,,available
Josh Harlow,RP,CLE,AA,,available
Johnathan Harmon,SP,CIN,AA,,available
Landon Harmon,SP,WSH,AA,,available
Sean Harney,RP,STL,AA,,available
Daniel Harper,RP,PHI,AA,,available
Landon Harper,"SP,RP",ATL,AA,,available
Gage Harrelson,OF,LAA,AA,,available
Alex Harrington,SS,(N/A),AA,,available
Aiden Harris,3B,(N/A),AA,,available
Brady Harris,SS,(N/A),AA,,available
Calvin Harris,C,CHW,AA,,available
Dakota Harris,"1B,2B,3B",STL,AA,,available
Hobie Harris,RP,BOS,AA,,available
Sam Harris,1B,(N/A),AA,,available
Trent Harris,RP,SF,AA,,available
Trey Harris,OF,(N/A),AA,,available
Zach Harris,SP,COL,AA,,available
Charles Harrison,RP,STL,AA,,available
Devereaux Harrison,"SP,RP",TOR,AA,,available
Kalae Harrison,2B,(N/A),AA,,available
Trevor Harrison,SP,TB,AA,,available
Jay Harry,"SS,OF",TOR,AA,,available
