name,position,mlb_team,league_id,fantasy_team_id,fa_status,status_40_man,status_il,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030
Josh Naylor,1B,SEA,MLB,,available,,,,,,,
Marcell Ozuna,UT,(N/A),MLB,,available,,,,,,,
Brandon Nimmo,OF,TEX,MLB,,available,,,,,,,
Framber Valdez,SP,(N/A),MLB,,available,,,,,,,
Chris Sale,SP,ATL,MLB,,available,,,,,,,
Luis Arraez,1B,(N/A),MLB,,available,,,,,,,
Zac Gallen,SP,(N/A),MLB,,available,,,,,,,
Munetaka Murakami,3B,CHW,MLB,,available,,,,,,,
Merrill Kelly,SP,ARI,MLB,,available,,,,,,,
Trent Grisham,OF,NYY,MLB,,available,,,,,,,
Matthew Boyd,SP,CHC,MLB,,available,,,,,,,
Jorge Polanco,2B,NYM,MLB,,available,,,,,,,
Seth Lugo,SP,KC,MLB,,available,,,,,,,
Mike Yastrzemski,OF,ATL,MLB,,available,,,,,,,
Ramon Laureano,OF,SD,MLB,,available,,,,,,,
Kazuma Okamoto,"1B,3B",(N/A),MLB,,available,,,,,,,
Nick Martinez,SP,(N/A),MLB,,available,,,,,,,
Alejandro Kirk,C,TOR,MLB,,available,,,,,,,
Ryan OHearn,"1B,OF",PIT,MLB,,available,,,,,,,
Cedric Mullins,OF,TB,MLB,,available,,,,,,,
Lucas Giolito,SP,(N/A),MLB,,available,,,,,,,
Sung Mun Song,3B,SD,MLB,,available,,,,,,,
J.T. Realmuto,C,(N/A),MLB,,available,,,,,,,
Patrick Corbin,SP,(N/A),MLB,,available,,,,,,,
Tatsuya Imai,SP,(N/A),MLB,,available,,,,,,,
Young Woong Kim,3B,(N/A),MLB,,available,,,,,,,
Janson Junk,SP,MIA,MLB,,available,,,,,,,
Nestor Cortes Jr.,SP,(N/A),MLB,,available,,,,,,,
Ty France,1B,(N/A),MLB,,available,,,,,,,
Andrew McCutchen,UT,(N/A),MLB,,available,,,,,,,
Miles Mikolas,SP,(N/A),MLB,,available,,,,,,,
Justin Verlander,SP,(N/A),MLB,,available,,,,,,,
Carlos Narvaez,C,BOS,MLB,,available,,,,,,,
Tommy Edman,"2B,OF",LAD,MLB,,available,,,,,,,
Andrew Heaney,SP,LAD,MLB,,available,,,,,,,
Drew Anderson,RP,DET,MLB,,available,,,,,,,
Austin Gomber,SP,CHC,MLB,,available,,,,,,,
Aaron Civale,SP,(N/A),MLB,,available,,,,,,,
Luis Rengifo,"2B,3B",(N/A),MLB,,available,,,,,,,
Eric Wagaman,"1B,OF",MIA,MLB,,available,,,,,,,
Carlos Santana,1B,CHC,MLB,,available,,,,,,,
Tyler Anderson,SP,(N/A),MLB,,available,,,,,,,
Dustin May,SP,STL,MLB,,available,,,,,,,
Chris Paddack,SP,(N/A),MLB,,available,,,,,,,
Carson Kelly,C,CHC,MLB,,available,,,,,,,
Joc Pederson,UT,TEX,MLB,,available,,,,,,,
Cal Quantrill,SP,TEX,MLB,,available,,,,,,,
Javier Baez,"3B,SS,OF",DET,MLB,,available,,,,,,,
