name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Adley Rutschman,C,BAL,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jose Herrera,C,ARI,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,,,,,,,,,,,,,
Ryan Noda,1B,OAK,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Matt Mervis,1B,CHC,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Kyle Manzardo,1B,CLE,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Nick Pratto,1B,KC,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Anthony Volpe,SS,NYY,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jose Caballero,SS,TB,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jordan Westburg,SS,BAL,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Chase Meidroth,SS,BOS,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Eguy Rosario,SS,SD,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,
Jordan Diaz,3B,OAK,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Emmanuel Rivera,3B,ARI,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Kerry Carpenter,OF,DET,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jesus Sanchez,OF,MIA,AAA,ALB,X,,X,,,,,,1,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Oscar Colas,OF,CHW,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Trevor Larnach,OF,MIN,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Garrett Mitchell,OF,MIL,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Cal Mitchell,OF,CHW,AAA,ALB,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Pavin Smith,OF,ARI,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Joe Ryan,SP,MIN,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Nick Lodolo,SP,CIN,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Matt Manning,SP,DET,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ryne Nelson,SP,ARI,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Roansy Contreras,SP,PIT,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Tommy Henry,SP,ARI,AAA,ALB,X,,X,,,,,,0,,1,rostered,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,
