name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Dalton Rushing,C,LAD,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jonathan India,2B,KC,AAA,BUF,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Davis Schneider,2B,TOR,AAA,BUF,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Tyler Freeman,SS,CLE,AAA,BUF,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Joey Ortiz,SS,MIL,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jurickson Profar,OF,ATL,AAA,BUF,X,,X,,,,,,0,,1,rostered,12500000,12500000,12500000,12500000,UFA,,,,,,,,,
Darell Hernaiz,UT,OAK,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Angel Martinez,OF,CLE,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Esteury Ruiz,OF,OAK,AAA,BUF,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Evan Carter,OF,TEX,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Anthony Santander,OF,TOR,AAA,BUF,X,,X,,,,,,1,,1,rostered,42000000,42000000,42000000,42000000,UFA,,,,,,,,,
Nolan Jones,OF,COL,AAA,BUF,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Eury Perez,SP,MIA,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Yilber Diaz,SP,ARI,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Michael Lorenzen,SP,KC,AAA,BUF,X,,X,,,,,,1,,1,rostered,5500000,UFA,,,,,,,,,,,,
Jacob Lopez,SP,ATH,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Matthew Liberatore,SP,STL,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Camilo Doval,RP,SF,AAA,BUF,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Abner Uribe,RP,MIL,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Louie Varland,RP,MIN,AAA,BUF,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Devin Williams,RP,NYY,AAA,BUF,X,,X,,,,,,0,,1,rostered,12900000,12900000,12900000,12900000,UFA,,,,,,,,,
Pedro Dalmagro,C,CLE,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos Benavides,C,DET,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Haydn McGeary,C,CHC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ramon Ramirez,C,KC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryant Betancourt,1B,COL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Xavier Isaac,1B,TB,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonathan Santucci,1B,NYM,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Payton Tolle,1B,BOS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alex De Jesus,2B,TOR,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gabriel Terrero,2B,NYY,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caleb Durbin,2B,MIL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rainer Nunez,3B,TOR,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gregory Barrios,SS,MIL/TB,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yoeilin Cespedes,SS,BOS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hendry Chivilli,SS,MIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Danny De Andrade,SS,MIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Abdias De La Cruz,SS,ARI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Freili Encarnacion,SS,BOS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ludwing Espinoza,SS,CHC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
JJ Wetherholt,SS,STL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Salas,SS,MIA,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eduardo Garcia,SS,MIL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronald Ramirez,SS,DET,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Marco Luciano,SS,SF,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eli Willits,SS,WAS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyson Lewis,SS,CIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Emil Morales,SS,LAD,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yilver De Paula,SS,LAA,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Vazquez,SS,KC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Abreu,SS,MIA,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yulian Barreto,SS,SFG,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rosman Verdugo,SS,SD,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Ramon King,OF,KCR,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Griffin Burkholder,OF,PHI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Won-Bin Cho,OF,STL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darling Fernandez,OF,OAK,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brando Mayea,OF,NYY,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sam Petersen,OF,WSH,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Elian De La Cruz,OF,ARI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Hammond,OF,KC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jackson Strong,OF,DET,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mike Sirota,OF,LAD,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Raymond Mola,OF,PIT,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dakota Jordan,OF,SF,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cristian Perez,OF,DET,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yonathan Perlaza,OF,SD,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jorge Ruiz,OF,LAA,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kala'i Rosario,OF,MIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wandi Feliz,OF,COL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ronny Suarez,OF,ARI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ben Kudrna,SP,KC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brian Turburcio,SP,COL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Geremy Villorio,SP,PHI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexander Cornielle,SP,MIL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gilberto Batista,SP,BOS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joey Cantillo,SP,CLE,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Matt Barr,SP,MIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anderson Diaz,SP,DET,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Travis Smith,SP,MIL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Walter Ford,SP,SEA,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Didier Fuentes,SP,ATL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caden Grice,SP,ARI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hagen Smith,SP,CHW,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Patrick Galle,SP,BOS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Paul Wilson,SP,DET,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Marwys Jorge,SP,KC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cory Lewis,SP,MIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Landon Beidelschies,SP,ATL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Accimias Morales,SP,LAD,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Roddery Munoz,SP,MIA,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peyton Pallette,SP,CHW,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cole Gilley,SP,PHI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Reyes,SP,CHW,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Reiver Camacho,SP,COL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Keiverson Ramirez,SP,STL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Stephan,SP,TEX,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sean Sullivan,SP,PIT,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blake Walston,SP,ARI,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brandon Williamson,SP,CIN,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eddy Yean,SP,PIT,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Steven Cruz,RP,KC,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zack Showalter,RP,STL,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Greysen Carter,RP,NYY,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dalton Rogers,RP,BOS,AAA,BUF,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wade Miley,SP,,AAA,BUF,,,,,,,,,0,,0,rostered,2125000,,,,,,,,,,,,,
Jesus Tinoco,RP,MIA,AAA,BUF,,,,,,,,,0,,0,rostered,750000,750000,750000,,,,,,,,,,,
Ben Lively,SP,CLE,AAA,BUF,,,,,,,,,0,,0,rostered,7875000,,,,,,,,,,,,,
Rhys Hoskins,1B,MIL,AAA,BUF,,,,,,,,,0,,0,rostered,12750000,,,,,,,,,,,,,
