name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Jake Rogers,C,DET,AAA,CHA,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Carson Kelly,C,CHC,AAA,CHA,X,,X,,,,,,1,,1,rostered,4300000,4300000,UFA,,,,,,,,,,,
Adrian Del Castillo,C,ARI,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Romy Gonzalez,1B,BOS,AAA,CHA,X,,X,,,,,,1,,1,rostered,4000000,UFA,,,,,,,,,,,,
Josh Bell,1B,WSH,AAA,CHA,X,,X,,,,,,1,,1,rostered,13000000,UFA,,,,,,,,,,,,
Andres Gimenez,2B,CLE,AAA,CHA,X,,X,,,,,,1,,1,rostered,15214286,15214286,15214286,15214286,15214286,UFA,,,,,,,,
Zack Short,2B,NYM,AAA,CHA,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Paul Dejong,SS,FA,AAA,CHA,X,,X,,,,,,1,,1,rostered,4000000,UFA,,,,,,,,,,,,
Colson Montgomery,SS,CHW,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Matt Vierling,3B,DET,AAA,CHA,X,,X,,,,,,0,,1,rostered,ARB2,ARB3,UFA,,,,,,,,,,,
Jared Triolo,3B,PIT,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Corey Julks,OF,HOU,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Alan Roden,OF,TOR,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
James Outman,OF,LAD,AAA,CHA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Adolis Garcia,OF,TEX,AAA,CHA,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Jose Azocar,OF,NYM,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Parker Meadows,OF,DET,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Michael Conforto,OF,LAD,AAA,CHA,X,,X,,,,,,1,,1,rostered,15000000,15000000,UFA,,,,,,,,,,,
Zack Wheeler,SP,PHI,AAA,CHA,X,,X,,,,,,1,,1,rostered,35400000,35400000,35400000,UFA,,,,,,,,,,
Eduardo Rodriguez,SP,ARI,AAA,CHA,X,,X,,,,,,1,,1,rostered,20000000,20000000,20000000,UFA,,,,,,,,,,
Mitchell Parker,SP,WSH,AAA,CHA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
