name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Salvador Perez,C,KC,AAA,COL,X,,X,,,,,,1,,1,rostered,13500000,UFA,,,,,,,,,,,,
Mitch Garver,C,SEA,AAA,COL,X,,X,,,,,,1,,1,rostered,12000000,UFA,,,,,,,,,,,,
Michael Toglia,1B,COL,AAA,COL,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Yandy Diaz,1B,TB,AAA,COL,X,,X,,,,,,1,,1,rostered,12000000,UFA,,,,,,,,,,,,
Christopher Morel,2B,CHC,AAA,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Tommy Edman,2B,LAD,AAA,COL,X,,X,,,,,,1,,1,rostered,12375000,12375000,12375000,12375000,12375000,,,,,,,,,
Edouard Julien,2B,MIN,AAA,COL,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jacob Wilson,SS,OAK,AAA,COL,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Bobby Dalbec,3B,BOS,AAA,COL,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Royce Lewis,3B,MIN,AAA,COL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Mike Tauchman,OF,CHW,AAA,COL,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Cody Bellinger,OF,CHC,AAA,COL,X,,X,,,,,,1,,1,rostered,26666667,UFA,,,,,,,,,,,,
Ian Happ,OF,CHC,AAA,COL,X,,X,,,,,,1,,1,rostered,20333333,UFA,,,,,,,,,,,,
Daulton Varsho,OF,TOR,AAA,COL,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Brenton Doyle,OF,COL,AAA,COL,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Andrew Benintendi,OF,CHW,AAA,COL,X,,X,,,,,,1,,1,rostered,15000000,15000000,UFA,,,,,,,,,,,
Shohei Ohtani,SP,LAD,AAA,COL,X,,X,,,,,,1,,1,rostered,46081476,46081476,46081476,46081476,46081476,46081476,46081476,46081476,UFA,,,,,
Yoshinobu Yamamoto,SP,LAD,AAA,COL,X,,X,,,,,,1,,1,rostered,27083333,27083333,27083333,27083333,27083333,27083333,27083333,27083333,27083333,27083333,UFA,,,
Ryan Feltner,SP,COL,AAA,COL,X,,X,,,,,,1,,1,rostered,6000000,6000000,UFA,,,,,,,,,,,
Kodai Senga,SP,NYM,AAA,COL,X,,X,,,,,,1,,1,rostered,15000000,15000000,UFA,,,,,,,,,,,
Tyler Glasnow,SP,LAD,AAA,COL,X,,X,,,,,,1,,1,rostered,27312500,27312500,30000000,UFA,,,,,,,,,,
Andres Munoz,RP,SEA,AAA,COL,X,,X,,,,,,1,,1,rostered,6000000,8000000,10000000,UFA,,,,,,,,,,
Justin Lawrence,RP,COL,AAA,COL,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Yuki Matsui,RP,SD,AAA,COL,X,,X,,,,,,1,,1,rostered,5600000,5600000,5600000,UFA,,,,,,,,,,
Nick Mears,RP,COL,AAA,COL,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Blake Treinen,RP,LAD,AAA,COL,X,,X,,,,,,1,,1,rostered,7000000,7000000,UFA,,,,,,,,,,,
Julio Rodriguez,C,DET,AAA,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trey Cabbage,1B,HOU,AAA,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jamie Westbrook,2B,BOS,AAA,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
James Triantos,SS,CHC,AAA,COL,,x,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robert Hipwell,3B,SF,AAA,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kerrington Cross,3B,SD,AAA,COL,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
