name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Rene Pinto,C,TB,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Ryan Jeffers,C,MIN,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Jac Caglianone,1B,KC,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ha-Seong Kim,2B,SD,AAA,DUR,X,,X,,,,,,1,,1,rostered,10500000,10500000,10500000,10500000,10500000,10500000,UFA,,,,,,,
Gabriel Arias,SS,CLE,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Kyren Paris,SS,LAA,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Max Muncy,SS,OAK,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Ke' Bryan Hayes,3B,PIT,AAA,DUR,X,,X,,,,,,1,,1,rostered,8750000,8750000,8750000,8750000,8750000,UFA,,,,,,,,
Zach Dezenzo,3B,HOU,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dylan Crews,OF,WSH,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Michael Harris,OF,ATL,AAA,DUR,X,,X,,,,,,1,,1,rostered,9000000,9000000,9000000,9000000,9000000,9000000,9000000,UFA,,,,,,
Jack Suwinski,OF,PIT,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Alek Thomas,OF,ARI,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Denzel Clarke,OF,OAK,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Dominic Canzone,OF,SEA,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
James Wood,OF,WSH,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kyle Bradish,SP,BAL,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Shane Bieber,SP,CLE,AAA,DUR,X,,X,,,,,,1,,1,rostered,9843750,19687500,19687500,UFA,,,,,,,,,,
Drew Rasmussen,SP,TB,AAA,DUR,X,,X,,,,,,1,,1,rostered,5750000,8000000,UFA,,,,,,,,,,,
Luis Garcia (SP),SP,HOU,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Lance McCullers,SP,HOU,AAA,DUR,X,,X,,,,,,1,,1,rostered,8500000,UFA,,,,,,,,,,,,
Robert Stephenson,RP,LAA,AAA,DUR,X,,X,,,,,,1,,1,rostered,11000000,UFA,,,,,,,,,,,,
Sean Hjelle,RP,SFG,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Sean Reid-Foley,RP,NYM,AAA,DUR,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jordan Leasure,RP,CHW,AAA,DUR,X,,X,,,,,,1,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Anthony Veneziano,RP,MIA,AAA,DUR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ronald Hernandez,C,NYM,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caden Bodine,C,BAL,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Corey Collins,C,NYM,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Keaschall,2B,MIN,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cristofer Torin,2B,ARI,AAA,DUR,,x,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jake Munroe,3B,LAA,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nacho Alvarez,3B,ATL,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gino Groover,SS,ARI,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yiddi Cappe,SS,MIA,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kyle DeBarge,SS,MIN,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Denzer Guzman,SS,LAA,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brice Matthews,SS,HOU,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tate Southisene,SS,ATL,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tommy Troy,SS,ARI,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kaeden Kent,SS,NYY,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Willy Vasquez,SS,TB,AAA,DUR,,x,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kahlil Watson,SS,CLE,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nazzan Zanetello,SS,BOS,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Brito,SS,CLE,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kemp Alderman,OF,MIA,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colin Barber,OF,HOU,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jaison Chourio,OF,CLE,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dylan Dreiling,OF,TEX,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jud Fabian,OF,BAL,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cam Fisher,OF,HOU,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sean Gamble,OF,KC,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson Roccaforte,OF,KC,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kavares Tears,OF,SD,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colby Thomas,OF,OAK,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Steven Hajjar,RP,CLE,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Michael Knorr,SP,HOU,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brock Selvidge,SP,NYY,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rhett Lowder,SP,CIN,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hurston Waldrep,SP,ATL,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dominic Fritton,SP,TB,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyson Neighbors,RP,SD,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kyle Nicolas,RP,PIT,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lyon Richardson,SP,CIN,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brandon Sproat,SP,NYM,AAA,DUR,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
