name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Tyler Stephenson,C,CIN,AAA,GWI,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Pedro Pages,C,STL,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jake Cronenworth,1B,SD,AAA,GWI,X,,X,,,,,,0,,1,rostered,11428571,11428571,11428571,11428571,11428571,UFA,,,,,,,,
Marcus Semien,2B,TEX,AAA,GWI,X,,X,,,,,,0,,1,rostered,25000000,25000000,37500000,UFA,,,,,,,,,,
Ketel Marte,2B,ARI,AAA,GWI,X,,X,,,,,,0,,1,rostered,15200000,15200000,15200000,UFA,,,,,,,,,,
Jeff Mcneil,2B,NYM,AAA,GWI,X,,X,,,,,,0,,1,rostered,12500000,15750000,UFA,,,,,,,,,,,
Mauricio Dubon,2B,HOU,AAA,GWI,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Nick Sogard,2B,BOS,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Daniel Schneemann,SS,CLE,AAA,GWI,X,,X,,,,,,0,,1,rostered,6000000,6000000,UFA,,,,,,,,,,,
Jackson Holliday,SS,BAL,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Max Muncy,3B,LAD,AAA,GWI,X,,X,,,,,,0,,1,rostered,12000000,UFA,,,,,,,,,,,,
Vinny Capra,3B,MIL,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Eric Wagaman,3B,MIA,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Will Brennan,OF,CLE,AAA,GWI,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jesse Winker,OF,NYM,AAA,GWI,X,,X,,,,,,1,,1,rostered,13000000,13000000,UFA,,,,,,,,,,,
Nathan Lukes,OF,TOR,AAA,GWI,X,,X,,,,,,1,,1,rostered,9000000,9000000,UFA,,,,,,,,,,,
Jahmai Jones,UT,NYY,AAA,GWI,,X,,,,,,,0,,0,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Nick Loftin,2B,KC,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jake Mangum,OF,TB,AAA,GWI,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
