name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Connor Wong,C,BOS,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Bo Naylor,C,CLE,AAA,OWA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jhonkensy Noel,1B,CLE,AAA,OWA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Thairo Estrada,2B,SF,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Nolan Gorman,2B,STL,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,
Jose Miranda,3B,MIN,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Edmundo Sosa,3B,PHI,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Andres Chaparro,3B,ARI,AAA,OWA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Fernando Tatis,OF,SD,AAA,OWA,X,,X,,,,,,1,,1,rostered,24285714,24285714,24285714,24285714,24285714,24285714,24285714,24285714,36428571,UFA,,,,
Juan Yepez,OF,WSH,AAA,OWA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Lars Nootbaar,OF,STL,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Tommy Pham,OF,FA,AAA,OWA,X,,X,,,,,,1,,1,rostered,3000000,UFA,,,,,,,,,,,,
Kevin Alcantara,OF,CHC,AAA,OWA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Alek Manoah,SP,TOR,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
George Kirby,SP,SEA,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,,,,,,,,,,,
Max Fried,SP,ATL,AAA,OWA,X,,X,,,,,,1,,1,rostered,32400000,32400000,UFA,,,,,,,,,,,
Bryce Miller,SP,SEA,AAA,OWA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
JP Sears,SP,OAK,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Michael Wacha,SP,KCR,AAA,OWA,X,,X,,,,,,1,,1,rostered,UFA,,,,,,,,,,,,,
Spencer Turnball,SP,FA,AAA,OWA,X,,X,,,,,,1,,1,rostered,2000000,2000000,UFA,,,,,,,,,,,
Shinnosuke Ogasawara,SP,WSH,AAA,OWA,X,,X,,,,,,1,,1,rostered,3000000,3000000,UFA,,,,,,,,,,,
Bryan Abreu,RP,HOU,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Carlos Estevez,RP,FA,AAA,OWA,X,,X,,,,,,1,,1,rostered,5000000,5000000,UFA,,,,,,,,,,,
Dany Jimenez,RP,OAK,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Justin Topa,RP,SEA,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Dylan Lee,RP,ATL,AAA,OWA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Creed Willems,C,BAL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rainiel Rodriguez,C,STL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bligh Madris,1B,DET,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Abimelec Ortiz,1B,TEX,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Ritter,2B,NYM,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Miguel Hiraldo,3B,TOR,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jacob Reimer,3B,NYM,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Murf Gray,3B,PIT,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Merejo,3B,CLE,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kamuel Villar,SS,COL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Leo Balcazar,SS,CIN,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Ritter,SS,COL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wyatt Sanford,SS,PIT,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wilfri De La Cruz,SS,CHC,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Tomas,SS,CHC,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Sanchez,SS,TOR,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Antonio Jimenez,SS,NYM,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Enmanuel Tejeda,SS,NYY,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ethan Holliday,SS,COL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Colin Yeaman,SS,BAL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Santiago Leon,SS,MIN,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson Tucker,SS,(N/A),AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Thomas,SS,CHC,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Juan Cabada,SS,CHC,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexander Vargas,SS,NYY,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jace Avina,OF,NYY,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonatan Clase,OF,TOR,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Justin Dirden,OF,(N/A),AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Moises Gomez,OF,(N/A),AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Anthony Millan,OF,HOU,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jakob Marsee,OF,MIA,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gerlyn Pauano,OF,MIL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cam Cannarella,OF,MIA,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexfri Planez,OF,CLE,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nelson Rada,OF,LAA,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Emil Torres,OF,TBR,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Dumesnil,OF,DET,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Diego Tornes,OF,ATL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ruben Castillo,OF,NYY,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Samuel Zavala,OF,CHW,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ettore Giulianelli,SP,STL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brody McCullough,SP,CHC,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Filippo Sabatini,SP,PHI,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Freddy Hernandez,SP,LAA,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cam Caminiti,SP,ATL,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ethan Schiefelbein,SP,DET,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Forrest Whitley,SP,HOU,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aidan Major,SP,CLE,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alex Santos,RP,HOU,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Rafe Schlesinger,RP,CLE,AAA,OWA,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
