name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Luis Campusano,C,SD,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Danny Jansen,C,TB,AAA,JAC,X,,X,,,,,,1,,1,rostered,13000000,UFA,,,,,,,,,,,,
Samuel Basallo,C,BAL,AAA,JAC,X,,X,,,,,,1,,1,rostered,8375000,8375000,8375000,8375000,8375000,8375000,8375000,8375000,8375000,UFA,,,,
Matt Olson,1B,ATL,AAA,JAC,X,,X,,,,,,1,,1,rostered,21000000,21000000,21000000,21000000,21000000,UFA,,,,,,,,
Luis Arraez,2B,MIA,AAA,JAC,X,,X,,,,,,1,,1,rostered,21000000,21000000,UFA,,,,,,,,,,,
Hyeseong Kim,2B,LAD,AAA,JAC,X,,X,,,,,,1,,1,rostered,35000000,35000000,UFA,,,,,,,,,,,
J.P. Crawford,SS,SEA,AAA,JAC,X,,X,,,,,,1,,1,rostered,10200000,UFA,,,,,,,,,,,,
Tim Tawa,2B,AZ,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Ronny Simon,2B,TB,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Brett Baty,3B,NYM,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Liover Peguero,SS,PIT,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jung Hoo Lee,OF,SF,AAA,JAC,X,,X,,,,,,1,,1,rostered,18833333,18833333,18833333,18833333,UFA,,,,,,,,,
Jackson Chourio,OF,MIL,AAA,JAC,X,,X,,,,,,1,,1,rostered,10250000,10250000,10250000,10250000,10250000,10250000,25000000,25000000,UFA,,,,,
Taylor Ward,OF,LAA,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Sam Haggerty,OF,SEA,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Richie Palacios,OF,TB,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Josh Palacios,OF,PIT,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jake Meyers,OF,HOU,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Grant McCray,OF,SF,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Julian Aguiar,SP,CIN,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brant Hurter,SP,DET,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Graham Ashcraft,SP,CIN,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Aaron Nola,SP,PHI,AAA,JAC,X,,X,,,,,,1,,1,rostered,24571428,24571428,24571428,24571428,24571432,UFA,,,,,,,,
Bryan Woo,SP,SEA,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Garrett Whitlock,SP,BOS,AAA,JAC,X,,X,,,,,,1,,1,rostered,7500000,8250000,10500000,UFA,,,,,,,,,,
Kutter Crawford,SP,BOS,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Ryan Weathers,SP,MIA,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Erick Fedde,SP,CWS,AAA,JAC,X,,X,,,,,,1,,1,rostered,11250000,UFA,,,,,,,,,,,,
Ken Waldichuk,SP,OAK,AAA,JAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Christian Scott,SP,NYM,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Hayden Birdsong,SP,SFG,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Connor Gillispie,SP,MIA,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Ryan Walker,RP,SF,AAA,JAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Alex Vesia,RP,LAD,AAA,JAC,X,,X,,,,,,1,,1,rostered,2300000,UFA,,,,,,,,,,,,
