name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Francisco Alvarez,C,NYM,AAA,LEH,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Dillon Dingler,C,DET,AAA,LEH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Michael Busch,1B,CHC,AAA,LEH,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jorge Polanco,2B,FA,AAA,LEH,X,,X,,,,,,1,,1,rostered,5000000,5000000,5000000,UFA,,,,,,,,,,
Isaac Collins,2B,MIL,AAA,LEH,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Thomas Saggese,SS,STL,AAA,LEH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Matt Chapman,3B,SFG,AAA,LEH,X,,X,,,,,,1,,1,rostered,18000000,18000000,UFA,,,,,,,,,,,
Bobby Witt Jr.,SS,KC,AAA,LEH,X,,X,,,,,,1,,1,rostered,26252525,26252525,26252525,26252525,26252525,26252525,26252525,26252525,26252525,26252525,26252525,26252525,UFA,
Nick Castellanos,OF,PHI,AAA,LEH,X,,X,,,,,,1,,1,rostered,20000000,UFA,,,,,,,,,,,,
Johnathan Rodriguez,OF,CLE,AAA,LEH,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Victor Scott II,OF,STL,AAA,LEH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
