name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Sean Murphy,C,ATL,AAA,LOU,X,,X,,,,,,1,,1,rostered,12166667,12166667,12166667,12166667,UFA,,,,,,,,,
Kyle Teel,C,BOS,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Josh Naylor,1B,ARI,AAA,LOU,X,,X,,,,,,1,,1,rostered,16350000,16350000,16350000,UFA,,,,,,,,,,
Ben Rice,1B,NYY,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Enmanuel Valdez,2B,BOS,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Colt Keith,2B,DET,AAA,LOU,X,,X,,,,,,1,,1,rostered,4773750,4773750,4773750,4773750,4773750,4773750,4773750,UFA,,,,,,
Luis Garcia (2B),2B,WSH,AAA,LOU,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Jose Altuve,2B,HOU,AAA,LOU,X,,X,,,,,,1,,1,rostered,28035715,UFA,,,,,,,,,,,,
Miguel Vargas,2B,CHW,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Carlos Correa,SS,MIN,AAA,LOU,X,,X,,,,,,1,,1,rostered,33333333,33333333,33333333,33333333,49833333,UFA,,,,,,,,
Geraldo Perdomo,SS,ARI,AAA,LOU,X,,X,,,,,,1,,1,rostered,11250000,11250000,11250000,11250000,11250000,UFA,,,,,,,,
Willi Castro,SS,MIN,AAA,LOU,X,,X,,,,,,1,,1,rostered,9600000,9600000,9600000,9600000,9600000,UFA,,,,,,,,
Otto Kemp,3B,PHI,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jonny DeLuca,OF,TB,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brandon Nimmo,OF,NYM,AAA,LOU,X,,X,,,,,,1,,1,rostered,20500000,20500000,20500000,20500000,20500000,UFA,,,,,,,,
Lourdes Gurriel Jr.,OF,ARI,AAA,LOU,X,,X,,,,,,1,,1,rostered,14000000,UFA,,,,,,,,,,,,
Giancarlo Stanton,OF,NYY,AAA,LOU,X,,X,,,,,,1,,1,rostered,22000000,22000000,22000000,UFA,,,,,,,,,,
Seiya Suzuki,OF,CHC,AAA,LOU,X,,X,,,,,,1,,1,rostered,17000000,25500000,25500000,25500000,UFA,,,,,,,,,
David Festa,SP,MIN,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jeffrey Springs,SP,ATH,AAA,LOU,X,,X,,,,,,1,,1,rostered,7750000,15000000,UFA,,,,,,,,,,,
Logan Gilbert,SP,SEA,AAA,LOU,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Ty Madden,SP,DET,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Will Warren,SP,NYY,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Cristian Javier,SP,HOU,AAA,LOU,X,,X,,,,,,1,,1,rostered,12800000,12800000,UFA,,,,,,,,,,,
Aaron Ashby,SP,MIL,AAA,LOU,X,,X,,,,,,1,,1,rostered,4100000,4100000,4100000,4100000,UFA,,,,,,,,,
Javier Assad,SP,CHC,AAA,LOU,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Max Scherzer,SP,TOR,AAA,LOU,X,,X,,,,,,1,,1,rostered,17000000,UFA,,,,,,,,,,,,
Jeremiah Estrada,RP,SD,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Angel Bastardo,SP,BOS,AAA,LOU,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brooks Brannon,C,BOS,AAA,LOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Miguel Rodriguez,C,BAL,AAA,LOU,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
