name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Patrick Bailey,C,SF,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Freddy Fermin,C,KC,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Gustavo Campero,C,LAA,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
William Contreras,C,MIL,AAA,LV,X,,X,,,,,,0,,1,rostered,6100000,ARB3,UFA,,,,,,,,,,,
Spencer Horwitz,1B,TOR,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
C.J. Kayfus,1B,CLE,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
David Hamilton,SS,BOS,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Francisco Lindor,SS,NYM,AAA,LV,X,,X,,,,,,1,,1,rostered,33800000,33800000,33800000,33800000,33800000,16900000,UFA,,,,,,,
Leo Rivas,SS,SEA,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Shay Whitcomb,SS,HOU,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Brooks Baldwin,3B,CHW,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Wyatt Langford,OF,TEX,AAA,LV,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tyrone Taylor,OF,MIL,AAA,LV,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
