name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Blake Sabol,C,SF,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Yainer Diaz,C,HOU,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ryan Mountcastle,1B,BAL,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Joey Meneses,1B,WSH,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Darick Hall,1B,PHI,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Nick Gordon,SS,MIN,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Ezequiel Tovar,SS,COL,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,,,,,,,,,,,
Jake McCarthy,OF,ARI,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ronald Acuna Jr.,OF,ATL,AAA,MEM,X,,X,,,,,,1,,1,rostered,12500000,17000000,17000000,UFA,,,,,,,,,,
Will Benson,OF,CIN,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Braxton Garrett,SP,MIA,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB2,ARB3,ARB4,UFA,,,,,,,,,,
Mackenzie Gore,SP,WSH,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB2,ARB3,ARB 4,UFA,,,,,,,,,,
Edward Cabrera,SP,MIA,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Bryce Elder,SP,ATL,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Mitch Keller,SP,PIT,AAA,MEM,X,,X,,,,,,0,,1,rostered,15400000,15400000,15400000,UFA,,,,,,,,,,
Jordan Hicks,SP,SF,AAA,MEM,X,,X,,,,,,1,,1,rostered,11000000,11000000,UFA,,,,,,,,,,,
Ian Hamilton,RP,NYY,AAA,MEM,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ben Joyce,RP,LAA,AAA,MEM,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
