name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Kyle Higashioka,C,TEX,AAA,NOR,X,,X,,,,,,1,,1,rostered,7500000,7500000,UFA,,,,,,,,,,,
Bryce Harper,1B,PHI,AAA,NOR,X,,X,,,,,,1,,1,rostered,25384615,25384615,38076922,25384615,25384615,25384615,UFA,,,,,,,
Josh Jung,3B,TEX,AAA,NOR,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Blaze Alexander,SS,ARI,AAA,NOR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Javier Baez,SS,DET,AAA,NOR,X,,X,,,,,,1,,1,rostered,23333333,23333333,UFA,,,,,,,,,,,
Trey Sweeney,SS,DET,AAA,NOR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tyler Fitzgerald,SS,SF,AAA,NOR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jarred Kelenic,OF,ATL,AAA,NOR,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,UFA,,,,,,,,,,
Jo Adell,OF,LAA,AAA,NOR,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Kris Bryant,OF,COL,AAA,NOR,X,,X,,,,,,1,,1,rostered,26000000,26000000,26000000,UFA,,,,,,,,,,
Griffin Conine,OF,MIA,AAA,NOR,X,,X,,,,,,1,,1,rostered,5000000,5000000,5000000,UFA,,,,,,,,,,
Blake Perkins,OF,MIL,AAA,NOR,X,,X,,,,,,1,,1,rostered,1500000,UFA,,,,,,,,,,,,
