name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Henry Davis,C,PIT,AAA,NSH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Riley Adams,C,WSH,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Sam Huff,C,SFG,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,
Joey Bart,C,SFG,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jonathan Aranda,1B,TB,AAA,NSH,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Luis Rengifo,2B,LAA,AAA,NSH,X,,X,,,,,,0,,1,rostered,8925000,8925000,8925000,UFA,,,,,,,,,,
Taylor Walls,SS,TB,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
CJ Abrams,SS,WSH,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Josh Rojas,3B,SEA,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Isaac Paredes,3B,HOU,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Andre Lipcius,3B,LAD,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Curtis Mead,3B,TB,AAA,NSH,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Alex Call,OF,WSH,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 1,,,,,,,,,,,,,
Heliot Ramos,OF,SF,AAA,NSH,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Yanquiel Fernandez,OF,COL,AAA,NSH,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Riley Greene,OF,DET,AAA,NSH,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Johan Rojas,OF,PHI,AAA,NSH,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
