name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Drake Baldwin,C,ATL,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Junior Caminero,SS,TB,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Oswald Peraza,SS,NYY,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Casey Schmitt,3B,SF,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Joey Loperfido,OF,HOU,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jasson Dominguez,OF,NYY,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Robert Hassell,OF,WSH,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Osvaldo Bido,SP,OAK,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Landon Knack,SP,LAD,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Cade Horton,SP,CHC,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jackson Jobe,SP,DET,AAA,OKC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Aaron Parker,C,TOR,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryce Eldridge,1B,SF,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Travis Bazzana,2B,CLE,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Max Anderson,3B,DET,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wilfred Veras,3B,CHW,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Brannigan,3B,PIT,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ruben Santana,3B,ARI,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carson Williams,SS,TB,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kevin McGonigle,SS,DET,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Felnin Celesten,SS,SEA,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Quentin Young,SS,MIN,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Konnor Griffin,3B,PIT,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Pedro Catuy,OF,ARI,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Raylin Heredia,OF,PHI,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Zyhir Hope,OF,LAD,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Pirela,OF,CLE,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robert Calaz,OF,COL,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nolan Schubart,OF,CLE,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brandon Winokur,OF,MIN,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andres Valor,OF,MIA,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonny Farmelo,OF,SEA,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lonnie White,OF,PIT,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis De Leon,SP,BAL,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Painter,SP,PHI,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Fernando Perez,SP,TOR,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cole Schoenwetter,SP,CIN,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gabe Davis,SP,CHW,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Briggs McKenzie,SP,ATL,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trey Yesavage,SP,TOR,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Sloan,SP,SEA,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jonah Tong,SP,NYM,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Seth Hernandez,SP,PIT,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Noah Schultz,SP,CHW,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dasan Hill,SP,MIN,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trevor McDonald,SP,SF,AAA,OKC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
