name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Miguel Amaya,C,CHC,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jose Trevino,C,NYY,AAA,OMA,X,,X,,,,,,1,,1,rostered,5750000,5750000,5750000,UFA,,,,,,,,,,
Freddie Freeman,1B,LAD,AAA,OMA,X,,X,,,,,,1,,1,rostered,27000000,27000000,UFA,,,,,,,,,,,
Adael Amador,2B,COL,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Brandon Lowe,2B,TB,AAA,OMA,X,,X,,,,,,1,,1,rostered,10500000,UFA,,,,,,,,,,,,
Oneil Cruz,SS,PIT,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Austin Riley,3B,ATL,AAA,OMA,X,,X,,,,,,0,,1,rostered,21200000,21200000,21200000,21200000,21200000,21200000,21200000,21200000,UFA,,,,,
Jeimer Candelario,3B,CIN,AAA,OMA,X,,X,,,,,,0,,1,rostered,15000000,18000000,UFA,,,,,,,,,,,
Nick Maton,3B,FA,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Teoscar Hernandez,OF,LAD,AAA,OMA,X,,X,,,,,,1,,1,rostered,35250000,UFA,,,,,,,,,,,,
Oswaldo Cabrera,OF,NYY,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Dane Myers,OF,MIA,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Cam Smith,OF,HOU,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB2,ARB3,UFA,,,,,,,,
Corbin Carroll,OF,ARI,AAA,OMA,X,,X,,,,,,1,,1,rostered,13875000,13875000,13875000,13875000,13875000,13875000,UFA,,,,,,,
T.J. Friedl,OF,CIN,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Hayden Wesneski,SP,CHC,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,
Spencer Arrighetti,SP,HOU,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Gavin Stone,SP,LAD,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Justin Steele,SP,CHC,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Tobias Myers,SP,MIL,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Angel Chivilli,SP,COL,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB 3,UFA,,,,,,,,
Seth Lugo,SP,KC,AAA,OMA,X,,X,,,,,,1,,1,rostered,15000000,UFA,,,,,,,,,,,,
Ben Casparius,SP,LAD,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB 3,UFA,,,,,,,,
Tyler Wells,SP,BAL,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Michael Grove,SP,LAD,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Walker Buehler,SP,LAD,AAA,OMA,X,,X,,,,,,1,,1,rostered,12037500,12037500,12037500,12037500,12037500,12037500,UFA,,,,,,,
Johan Oviedo,SP,PIT,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Caden Dana,SP,LAA,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Chase Silseth,SP,LAA,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Chayce McDermott,SP,BAL,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Ron Marinaccio,RP,NYY,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Kevin Kelly,RP,TB,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB 1,ARB2,ARB3,UFA,,,,,,,,,,
Jackson Rutledge,SP,WSH,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB2,ARB3,UFA,,,,,,,,
Porter Hodge,RP,CHC,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB2,ARB3,UFA,,,,,,,,,
Mark Leiter Jr.,RP,CHC,AAA,OMA,X,,X,,,,,,0,,1,rostered,ARB3,UFA,,,,,,,,,,,,
Ryan Fernandez,RP,STL,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Carson Spiers,RP,CIN,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Juan Mejia,RP,COL,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Mason Fluharty,RP,TOR,AAA,OMA,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
