name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Cal Raleigh,C,SEA,AAA,RENO,X,,X,,,,,,1,,1,rostered,17500000,17500000,17500000,17500000,17500000,UFA,,,,,,,,
Nick Fortes,C,MIA,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Tim Elko,3B,CHW,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Josh H. Smith,3B,TEX,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Ernie Clement,3B,TOR,AAA,RENO,X,,X,,,,,,1,,1,rostered,22200000,UFA,,,,,,,,,,,,
Nolan Arenado,3B,STL,AAA,RENO,X,,X,,,,,,1,,1,rostered,25555555,25555555,UFA,,,,,,,,,,,
Coby Mayo,3B,BAL,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Ramon Urias,3B,BAL,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Xavier Edwards,SS,MIA,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jordan Lawlar,SS,ARI,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Steven Kwan,OF,CLE,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Brandon Marsh,OF,PHI,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Mickey Moniak,OF,LAA,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Kyle Stowers,OF,BAL,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,,,,,,,,,,,,,
Kameron Misner,OF,TB,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ezequiel Duran,OF,TEX,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Kyle Isbel,OF,KC,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Spencer Schwellenbach,SP,ATL,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Tanner Bibee,SP,CLE,AAA,RENO,X,,X,,,,,,1,,1,rostered,9600000,9600000,9600000,9600000,9600000,UFA,,,,,,,,
Tomoyuki Sugano,SP,BAL,AAA,RENO,X,,X,,,,,,1,,1,rostered,14000000,14000000,UFA,,,,,,,,,,,
Mick Abel,SP,PHI,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Pablo Lopez,SP,MIN,AAA,RENO,X,,X,,,,,,1,,1,rostered,18375000,18375000,UFA,,,,,,,,,,,
Matt Waldron,SP,SD,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Matthew Boyd,SP,CHC,AAA,RENO,X,,X,,,,,,1,,1,rostered,7250000,7250000,UFA,,,,,,,,,,,
D.J. Herz,SP,WSH,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Tyler Holton,RP,DET,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Kevin Ginkel,RP,ARI,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Logan Allen,RP,CLE,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Randy Rodriguez,RP,SF,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Griffin Jax,RP,MIN,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Jared Koenig,RP,MIL,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Clayton Beeter,RP,NYY,AAA,RENO,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jose LeClerc,RP,OAK,AAA,RENO,X,,X,,,,,,1,,1,rostered,8000000,UFA,,,,,,,,,,,,
Trevor Megill,RP,MIL,AAA,RENO,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Lamar King,C,SD,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joe Mack,C,MIA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luke Stevenson,C,SEA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Stafford,C,BAL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Maick Collado,1B,CLE,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Grant Lavigne,1B,COL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tre' Morgan,1B,TB,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesus Alexander,1B,SF,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Riley Nelson,1B,CLE,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nathan Martorella,1B,MIA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Torres,1B,LAA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darren Baker,2B,WSH,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis De Leon,2B,SD,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Adrian Pinto,2B,TOR,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Marco Vargas,2B,NYM,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peyton Wilson,2B,KC,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Noah Mendlinger,3B,STL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
J.T. Schwartz,3B,NYM,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Manuel Beltre,SS,TOR,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
William Bergolla,SS,CHW,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Werner Blakely,SS,LAA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jeremiah Jackson,SS,BAL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Starlyn Caba,SS,PHI,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Riera,SS,CLE,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sabin Ceballos,SS,ATL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cody Schrier,SS,MIA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alexis Hernandez,SS,CHC,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ed Howard,SS,CHC,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wallace Clark,SS,ARZ,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dyan Jorge,SS,COL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Walker Martin,SS,SF,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Enrique Bradfield Jr.,OF,BAL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kevyn Castillo,OF,LAA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Christian Franklin,OF,CHC,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eric Hartman,OF,ATL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kenni Gomez,OF,HOU,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hudson Haskin,OF,BAL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Vilade,OF,CIN,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Stiven Martinez,OF,BAL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Janero Miller,OF,MIA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Rodriguez,OF,MIN,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
T.J. White,OF,WSH,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ethan Wilson,OF,PHI,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chalniel Arias,SP,NYY,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Garrett Baumann,SP,ATL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Will Bednar,SP,SF,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel Benitez,SP,NYY,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Darren Bowen,SP,MIN,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Blake Wolters,SP,KC,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brody Brecht,SP,COL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Choate,SP,SF,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Freddy Contreras,SP,KC,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lucas Kelly,SP,SEA,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Cusick,SP,OAK,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hunter Allen,SP,BAL,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Aaron Watson,SP,CIN,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chad Dallas,SP,TOR,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Franklin Gomez,SP,NYM,AAA,RENO,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
