name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Rafael Marchan,C,PHI,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Carlos Narvaez,C,BOS,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Vladimir Guerrero Jr.,1B,TOR,AAA,RR,X,,X,,,,,,0,,1,rostered,32750000,42750000,42750000,42750000,42750000,42750000,UFA,,,,,,,
Nate Lowe,1B,WSH,AAA,RR,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Will Wagner,2B,TOR,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zack Gelof,2B,OAK,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Otto Lopez,2B,TOR,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Alex Bregman,3B,HOU,AAA,RR,X,,X,,,,,,1,,1,rostered,30000000,30000000,30000000,30000000,UFA,,,,,,,,,
Jeremy Pena,SS,HOU,AAA,RR,X,,X,,,,,,0,,1,rostered,ARB2,ARB3,UFA,,,,,,``,,,,,
Brooks Lee,SS,MIN,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Christian Koss,SS,SF,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Zach Mckinstry,OF,DET,AAA,RR,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Wyler Abreu,OF,BOS,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Addison Barger,OF,TOR,AAA,RR,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jacob deGrom,SP,TEX,AAA,RR,X,,X,,,,,,1,,1,rostered,37000000,37000000,37000000,UFA,,,,,,,,,,
Zac Gallen,SP,ARI,AAA,RR,X,,X,,,,,,0,,1,rostered,20700000,20700000,20700000,20700000,20700000,20700000,,,,,,,,
Hunter Greene,SP,CIN,AAA,RR,X,,X,,,,,,1,,1,rostered,8833333,8833333,8833333,8833333,UFA,,,,,,,,,
