name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
David Fry,C,CLE,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,ARB4,UFA,,,,,,,,,
Liam Hicks,C,DET,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Rafael Devers,1B,SFG,AAA,SAC,X,,X,,,,,,1,,1,rostered,29152686,29152686,29152686,29152686,29152686,29152686,29152686,29152686,UFA,,,,,
Gleyber Torres,2B,DET,AAA,SAC,X,,X,,,,,,1,,1,rostered,21300000,21300000,21300000,21300000,UFA,,,,,,,,,
Vidal Brujan,2B,CHC,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Gunnar Henderson,SS,BAL,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Alex Freeland,SS,LAD,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Max Kepler,OF,PHI,AAA,SAC,X,,X,,,,,,1,,1,rostered,18500000,UFA,,,,,,,,,,,,
Josh Lowe,OF,TB,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
MJ Melendez,OF,KC,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,ARB 4,UFA,,,,,,,,,,
Joey Wiemer,OF,KC,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Jake Bloss,SP,TOR,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Alec Marsh,SP,KC,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Grayson Rodriguez,SP,BAL,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Chad Patrick,SP,MIL,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Taj Bradley,SP,TB,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Roki Sasaki,SP,LAD,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Colton Gordon,SP,HOU,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Yu Darvish,SP,SD,AAA,SAC,X,,X,,,,,,1,,1,rostered,18000000,18000000,9000000,,,,,,,,,,,
Sammy Natera Jr.,SP,LAA,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Tony Gonsolin,SP,LAD,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Lucas Erceg,RP,KC,AAA,SAC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Angel Perdomo,RP,ATL,AAA,SAC,X,,X,,,,,,1,,1,rostered,2000000,2000000,2000000,UFA,,,,,,,,,,
Joe Jimenez,RP,ATL,AAA,SAC,X,,X,,,,,,1,,1,rostered,8666667,UFA,,,,,,,,,,,,
Eli Morgan,RP,CLE,AAA,SAC,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
