name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Hunter Goodman,C,COL,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Spencer Torkelson,1B,DET,AAA,SLC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Christian Moore,2B,LAA,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ronny Mauricio,2B,NYM,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Noelvi Marte,SS,CIN,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Jackson Merrill,SS,SD,AAA,SLC,X,,X,,,,,,0,,1,rostered,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,15000000,UFA,,,
Dansby Swanson,SS,CHC,AAA,SLC,X,,X,,,,,,1,,1,rostered,25285714,25285714,25285714,25285714,UFA,,,,,,,,,
Graham Pauley,3B,SD,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Victor Robles,OF,SEA,AAA,SLC,X,,X,,,,,,1,,1,rostered,21000000,21000000,21000000,21000000,UFA,,,,,,,,,
Akil Baddoo,OF,DET,AAA,SLC,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Jordan Walker,OF,STL,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Luis Robert Jr.,OF,CHW,AAA,SLC,X,,X,,,,,,1,,1,rostered,20000000,20000000,UFA,,,,,,,,,,,
Aaron Judge,OF,NYY,AAA,SLC,X,,X,,,,,,1,,1,rostered,40000000,40000000,40000000,40000000,40000000,UFA,,,,,,,,
Ramon Laureano,OF,CLE,AAA,SLC,X,,X,,,,,,0,,1,rostered,4000000,UFA,,,,,,,,,,,,
Jacob Young,OF,WSH,AAA,SLC,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Keider Montero,SP,DET,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Nick Nastrini,SP,CHW,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Dean Kremer,SP,BAL,AAA,SLC,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Shane McClanahan,SP,TB,AAA,SLC,X,,X,,,,,,0,,1,rostered,ARB 3,ARB 4,UFA,,,,,,,,,,,
Chase Petty,SP,CIN,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Reese Olson,SP,DET,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Robby Snelling,SP,MIA,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Gavin Williams,SP,CLE,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Cade Povich,SP,BAL,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Shane Smith,RP,CHW,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Jonathan Cannon,SP,CHW,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Peter Lambert,RP,COL,AAA,SLC,,X,,,,,,,1,,0,rostered,750000,750000,UFA,,,,,,,,,,,
Jake Latz,RP,TEX,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Cole Winn,RP,TEX,AAA,SLC,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Jorge Alcala,RP,MIN,AAA,SLC,X,,X,,,,,,1,,1,rostered,2000000,2000000,UFA,,,,,,,,,,,
Huascar Brazoban,RP,MIA,AAA,SLC,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Dennis Santana,RP,PIT,AAA,SLC,X,,X,,,,,,1,,1,rostered,740000,740000,UFA,,,,,,,,,,,
Noah Cardenas,C,MIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Diego Cartaya,C,LAD,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Andrew Cossetti,C,MIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daniel Pena,C,MIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Francisco Espinoza,C,LAD,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Onil Perez,C,SF,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesus Rodriguez,C,NYY,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nick Schwartz,C,OAK,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Drew Beam,1B,KC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jakob Christian,1B,SF,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Lyle Miller-Green,1B,CHW,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Kross,1B,STL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ivan Melendez,1B,ARI,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Niko Kavadas,1B,LAA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cooper Bowman,2B,OAK,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Encarnacion,2B,HOU,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Seaver King,2B,WSH,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Rodriguez,2B,MIL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Leandro Arias,SS,BAL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesus Bastidas,SS,HOU,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Benjamin Cowles,SS,CHC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jose Escobar,SS,CHC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alberth Palma,SS,TB,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jay Harry,SS,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh Kasevich,SS,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Christopher Polanco,SS,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joshua Kuroda-Grauer,SS,OAK,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mani Cedeno,SS,NYY,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Xavier Neyens,SS,HOU,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Heins Brito,SS,CLE,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Alberto Mendez,SS,CLE,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cam Clayton,SS,MIA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dylan O'Rae,SS,MIL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bruin Agbayani,SS,MIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bryan Rincon,SS,PHI,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Johnfrank Salazar,SS,BOS,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brayan Cortesia,SS,WSH,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kendry Martinez,SS,,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tanner Schobel,SS,MIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Echedry Vargas,3B,TEX,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Victor Arias,OF,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Brett Bateman,OF,CHC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Emaarion Boyd,OF,PHI,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jackson Castillo,OF,NYY,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luis Castillo,OF,MIL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Korbyn Dickerson,OF,SEA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yohairo Cuevas,OF,NYM,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Gavin Turley,OF,ATH,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Raudi Rodriguez,OF,LAA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Carlos De La Cruz,OF,PHI,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Esteban Gonzalez,OF,CLE,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Julio Henriquez,OF,MIA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Caden Kendle,OF,MIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Spencer Packard,OF,SEA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kristian Robinson,OF,ARI,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hector Rodriguez,OF,CIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Corey Rosier,OF,BOS,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kenly Hunter,OF,STL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Thomas Sosa,OF,BAL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Erick Torres,OF,KC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Bo Bonds,SP,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
T.J. Brock,SP,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
A.J. Causey,SP,KC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Eric Cerantola,SP,KC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Wilmer Flores,SP,DET,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ty Floyd,SP,CIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sean Youngerman,SP,PHI,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Riley Frey,SP,ATL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
David Davalillo,SP,TEX,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Chase Hampton,SP,NYY,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Pico Kohn,SP,NYY,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Roberto Salas,SP,COL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Trent Harris,SP,SF,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yordy Herrera,SP,STL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Dylan DeLucia,SP,CLE,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jojo Ingrassia,SP,BOS,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Angel Jimenez,SP,COL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Antoine Kelly,SP,COL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tanner Kohlhepp,SP,DET,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Joshua Loeschorn,SP,PIT,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Uberstine,SP,BOS,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Osiris Calvo,SP,NYM,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Adam Macko,SP,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mark Manfredi,SP,MIL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Logan Martin,SP,KC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Mat Olsen,SP,SF,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jack Young,SP,CHW,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Josh White,SP,MIA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Cole Paplham,SP,SD,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Leonel Sequera,SP,STL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Jesse Bergin,SP,MIA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Kona Takahashi,SP,(N/A),AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Peter Van Loon,SP,BAL,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Austin Vernon,SP,TB,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ryan Webb,SP,CLE,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nico Zeglin,SP,CHC,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Adisyn Coffey,SP,CHW,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yoendrys Gomez,RP,NYY,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Grant Holman,RP,OAK,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Manuel Medina,RP,MIA,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Daviel Hurtado,RP,NYM,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Thornton,RP,CLE,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Robby Ahlstrom,RP,TEX,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
CJ Van Eyk,RP,TOR,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Yosver Zulueta,RP,CIN,AAA,SLC,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
