name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Keibert Ruiz,C,WSH,AAA,STP,X,,X,,,,,,1,,1,rostered,6250000,6250000,6250000,6250000,6250000,6250000,6250000,UFA,,,,,,
Tyler Soderstrom,C,OAK,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Alec Bohm,1B,PHI,AAA,STP,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Sean Bouchard,1B,COL,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Nolan Schanuel,1B,LAA,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Ozzie Albies,2B,ATL,AAA,STP,X,,X,,,,,,1,,1,rostered,7000000,7000000,UFA,,,,,,,,,,,
Rece Hinds,SS,CIN,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Nick Gonzales,SS,PIT,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Bo Bichette,SS,TOR,AAA,STP,X,,X,,,,,,1,,1,rostered,16800000,16800000,16800000,16800000,16800000,16800000,UFA,,,,,,,
Vaughn Grissom,SS,BOS,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Austin Martin,SS,MIN,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Brady House,3B,WAS,AAA,STP,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
