name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Logan O'Hoppe,C,LAA,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB1,ARB2,ARB3,UFA,,,,,,,,,,
Matt Thaiss,C,LAA,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Christian Walker,1B,HOU,AAA,SUG,X,,X,,,,,,0,,1,rostered,32000000,32000000,32000000,48000000,UFA,,,,,,,,,
Trevor Story,2B,BOS,AAA,SUG,X,,X,,,,,,1,,1,rostered,23333333,23333333,UFA,,,,,,,,,,,
Connor Norby,2B,BAL,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Spencer Steer,3B,CIN,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Santiago Espinal,3B,TOR,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 4,UFA,,,,,,,,,,,,
Nick Allen,SS,OAK,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Wenceel Perez,SS,DET,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Luisangel Acuna,SS,NYM,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Matthew Lugo,SS,LAA,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ryan Kreidler,SS,DET,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Colton Cowser,OF,BAL,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Mookie Betts,OF,LAD,AAA,SUG,X,,X,,,,,,1,,1,rostered,25554824,25554824,25554824,25554824,25554824,38332236,25554824,UFA,,,,,,
Jarren Duran,OF,BOS,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB2,ARB3,ARB4,UFA,,,,,,,,,,
Leodys Taveras,OF,TEX,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB3,ARB4,UFA,,,,,,,,,,,
Dylan Carlson,OF,STL,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Zac Veen,OF,COL,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Kyle Harrison,SP,SF,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Bobby Miller,SP,LAD,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,,
Luis Castillo,SP,SEA,AAA,SUG,X,,X,,,,,,1,,1,rostered,21600000,21600000,21600000,UFA,,,,,,,,,,
Michael Kopech,SP,CHW,AAA,SUG,X,,X,,,,,,0,,1,rostered,7800000,7800000,7800000,7800000,7800000,UFA,,,,,,,,
Yusei Kikuchi,SP,LAA,AAA,SUG,X,,X,,,,,,0,,1,rostered,17500000,17500000,17500000,17500000,,,,,,,,,,
Tylor Megill,SP,NYM,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Sean Burke,SP,CHW,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Ian Seymour,SP,TB,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Brandon Walter,SP,HOU,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Emerson Hancock,SP,SEA,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Reid Detmers,SP,LAA,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Carlos Rodriguez,SP,MIL,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Victor Gonzalez,RP,FA,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Brock Burke,RP,TEX,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Justin Slaten,RP,LAA,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,,
Lucas Sims,RP,CIN,AAA,SUG,,X,,,,,,,1,,0,rostered,4275000,4275000,4275000,UFA,,,,,,,,,,
Carlos Vargas,RP,SEA,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,TC,ARB1,ARB2,ARB3,UFA,,,,,,,,
Jose Suarez,RP,ATL,AAA,SUG,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Justin Martinez,RP,ARI,AAA,SUG,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Moises Marchan,C,LC,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ethan Anderson,1B,BAL,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Loidel Chapelli,2B,CHW,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Derlin Figueroa,2B,KC,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Nate Furman,2B,CLE/SF,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Hansel Ramirez,2B,TEX,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Roc Riggio,2B,NYY,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Tyler Hardman,3B,NYY,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Izaac Pacheco,3B,DET,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Sal Stewart,3B,CIN,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Luisangel Acuna,SS,NYM,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Ayden Johnson,SS,OAK,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Osleivis Basabe,SS,TB,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Frederick Bencosme,SS,BAL,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
Diego Benitez,SS,ATL,AAA,SUG,,X,,,,,,,0,,0,rostered,,,,,,,,,,,,,,
