name,position,mlb_team,league_id,fantasy_team_id,status_mlb,status_milb,status_40_man,status_il,il_length,il_date,il_return,option_years_used,dfa_only,rule_5_eligibility_year,has_been_on_40_man,fa_status,contract_2026,contract_2027,contract_2028,contract_2029,contract_2030,contract_2031,contract_2032,contract_2033,contract_2034,contract_2035,contract_2036,contract_2037,contract_2038,contract_2039
Ivan Herrera,C,STL,AAA,SWB,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
Matt Shaw,2B,CHC,AAA,SWB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Nico Hoerner,2B,CHC,AAA,SWB,X,,X,,,,,,1,,1,rostered,11666667,UFA,,,,,,,,,,,,
Bryson Stott,2B,PHI,AAA,SWB,X,,X,,,,,,0,,1,rostered,ARB 2,ARB 3,UFA,,,,,,,,,,,
Manny Machado,3B,SD,AAA,SWB,X,,X,,,,,,1,,1,rostered,31818182,31818182,31818182,31818182,31818182,31818182,31818182,31818182,UFA,,,,,
Ben Williamson,3B,SEA,AAA,SWB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Javier Sanoja,3B,MIA,AAA,SWB,X,,X,,,,,,0,,1,rostered,760000,TC,ARB 1,ARB 2,ARB 3,UFA,,,,,,,,
Trea Turner,SS,PHI,AAA,SWB,X,,X,,,,,,1,,1,rostered,27272727,27272727,27272727,27272727,27272727,27272727,27272727,27272730,UFA,,,,,
Julio Rodriguez,OF,SEA,AAA,SWB,X,,X,,,,,,1,,1,rostered,17441667,17441667,17441667,17441667,17441667,17441667,17441667,17441667,17441667,UFA,,,,
Christian Yelich,OF,MIL,AAA,SWB,X,,X,,,,,,1,,1,rostered,23888888,23888888,23888888,23888888,UFA,,,,,,,,,
Sandy Alcantara,SP,MIA,AAA,SWB,X,,X,,,,,,1,,1,rostered,11200000,21000000,UFA,,,,,,,,,,,
Brandon Pfaadt,SP,ARI,AAA,SWB,X,,X,,,,,,1,,1,rostered,9000000,9000000,9000000,9000000,9000000,9000000,9000000,UFA,,,,,,
Carlos Rodon,SP,NYY,AAA,SWB,X,,X,,,,,,1,,1,rostered,27833333,27833333,27833334,UFA,,,,,,,,,,
Casey Mize,SP,DET,AAA,SWB,X,,X,,,,,,0,,1,rostered,ARB 3,UFA,,,,,,,,,,,,
Pedro Avila,SP,SD,AAA,SWB,X,,X,,,,,,0,,1,rostered,760000,ARB1,ARB2,ARB3,UFA,,,,,,,,,
